ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
GE,2009-06-30,2009-08-03,2671000000,778168000000.0,112119000000,,,
GE,2009-09-30,2009-11-02,2494000000,787846000000.0,117529000000,,,
GE,2009-12-31,2010-02-19,3013000000,781818000000.0,117291000000,10642000000.0,2826000000.0,7816000000.0
GE,2010-03-31,2010-05-07,1945000000,777355000000.0,115195000000,7094000000.0,1302000000.0,5792000000.0
GE,2010-06-30,2010-08-02,3109000000,749930000000.0,113934000000,,,
GE,2010-09-30,2010-11-03,2055000000,758824000000.0,115536000000,,,
GE,2010-12-31,2011-02-25,4535000000,751216000000.0,118936000000,9647000000.0,5385000000.0,4262000000.0
GE,2011-03-31,2011-05-06,3433000000,727837000000.0,123535000000,7696000000.0,3169000000.0,4527000000.0
GE,2011-06-30,2011-07-29,3764000000,739130000000.0,128074000000,,,
GE,2011-09-30,2011-11-08,3224000000,737700000000.0,124461000000,,,
GE,2011-12-31,2012-02-24,3730000000,717242000000.0,116438000000,9136000000.0,3599000000.0,5537000000.0
GE,2012-03-31,2012-05-04,3034000000,707719000000.0,119867000000,6466000000.0,3295000000.0,3171000000.0
GE,2012-06-30,2012-07-30,3105000000,694121000000.0,120119000000,,,
GE,2012-09-30,2012-11-07,3491000000,698880000000.0,122552000000,,,
GE,2012-12-31,2013-02-26,4011000000,685328000000.0,123026000000,11253000000.0,4628000000.0,6625000000.0
GE,2013-03-31,2013-05-08,3527000000,670690000000.0,123714000000,4610000000.0,3644000000.0,966000000.0
GE,2013-06-30,2013-07-26,3133000000,660541000000.0,122509000000,,,
GE,2013-09-30,2013-11-01,3191000000,661438000000.0,122692000000,,,
GE,2013-12-31,2014-02-27,3206000000,656560000000.0,130566000000,11417000000.0,3328000000.0,8089000000.0
GE,2014-03-31,2014-05-12,2999000000,652252000000.0,131836000000,4961000000.0,3361000000.0,1600000000.0
GE,2014-06-30,2014-07-31,3545000000,651869000000.0,134013000000,,,
GE,2014-09-30,2014-11-04,3537000000,650021000000.0,134998000000,,,
GE,2014-12-31,2015-02-27,5152000000,648349000000.0,128159000000,11464000000.0,-2567000000.0,8897000000.0
GE,2015-03-31,2015-05-04,-13573000000,617631000000.0,108560000000,6090000000.0,3011000000.0,3079000000.0
GE,2015-06-30,2015-07-30,-1360000000,610926000000.0,109503000000,,,
GE,2015-09-30,2015-11-02,2506000000,581310000000.0,111204000000,,,
GE,2015-12-31,2016-02-26,6301000000,492692000000.0,98274000000,6744000000.0,2416000000.0,4328000000.0
GE,2016-03-31,2016-05-04,191000000,462193000000.0,91088000000,599000000.0,1556000000.0,-957000000.0
GE,2016-06-30,2016-08-01,2890000000,401461000000.0,84991000000,,,
GE,2016-09-30,2016-11-02,2027000000,387694000000.0,81882000000,,,
GE,2016-12-31,2017-02-24,3667000000,365183000000.0,75828000000,1629000000.0,2090000000.0,-461000000.0
GE,2017-03-31,2017-05-05,653000000,351643000000.0,74534000000,309000000.0,1470000000.0,-1161000000.0
GE,2017-06-30,2017-07-28,1367000000,355473000000.0,74148000000,,,
GE,2017-09-30,2017-10-30,1836000000,378038000000.0,76105000000,,,
GE,2017-12-31,2018-02-23,-9642000000,377945000000.0,64263000000,6908000000.0,2300000000.0,4608000000.0
GE,2018-03-31,2018-05-01,-1147000000,358109000000.0,55965000000,1390000000.0,1818000000.0,-428000000.0
GE,2018-06-30,2018-07-27,800000000,342769000000.0,55069000000,,,
GE,2018-09-30,2018-10-30,-22769000000,311691000000.0,31454000000,,,
GE,2018-12-31,2019-02-26,761000000,309129000000.0,30981000000,4681000000.0,2712000000.0,1969000000.0
GE,2019-03-31,2019-04-30,3588000000,315082000000.0,35161000000,42000000.0,1680000000.0,-1638000000.0
GE,2019-06-30,2019-07-31,127000000,312109000000.0,35816000000,,,
GE,2019-09-30,2019-10-30,-9423000000,263009000000.0,27935000000,,,
GE,2019-12-31,2020-02-24,728000000,266048000000.0,28316000000,6739000000.0,1638000000.0,5101000000.0
GE,2020-03-31,2020-04-29,6199000000,262021000000.0,35284000000,-214000000.0,1027000000.0,-1241000000.0
GE,2020-06-30,2020-07-29,-1987000000,256487000000.0,33674000000,,,
GE,2020-09-30,2020-10-28,-1144000000,254315000000.0,33269000000,,,
GE,2020-12-31,2021-02-12,2636000000,253452000000.0,35552000000,3634000000.0,1011000000.0,2623000000.0
GE,2021-03-31,2021-04-27,-2802000000,245164000000.0,33585000000,-1959000000.0,332000000.0,-2291000000.0
GE,2021-06-30,2021-07-27,-1131000000,237559000000.0,33487000000,,,
GE,2021-09-30,2021-10-26,1257000000,237133000000.0,37477000000,,,
GE,2021-12-31,2022-02-11,-3843000000,198874000000.0,40310000000,2432000000.0,355000000.0,2077000000.0
GE,2022-03-31,2022-04-26,-1042000000,191961000000.0,39005000000,-556000000.0,340000000.0,-896000000.0
GE,2022-06-30,2022-07-26,-790000000,185540000000.0,34649000000,,,
GE,2022-09-30,2022-10-25,-165000000,180877000000.0,31475000000,,,
GE,2022-12-31,2023-02-10,2222000000,187788000000.0,36366000000,4499000000.0,414000000.0,4085000000.0
GE,2023-03-31,2023-04-25,7506000000,164472000000.0,31652000000,-259000000.0,279000000.0,-538000000.0
GE,2023-06-30,2023-07-25,35000000,163006000000.0,31194000000,,,
GE,2023-09-30,2023-10-24,348000000,156662000000.0,28665000000,,,
GE,2023-12-31,2024-02-02,1592000000,163045000000.0,27378000000,3141000000.0,,
GE,2024-03-31,2024-04-23,1537000000,163942000000.0,29855000000,992000000.0,,
GE,2024-06-30,2024-07-23,1266000000,123190000000.0,18598000000,,,
