ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
GLW,2009-03-31,2010-04-30,14000000,19256000000.0,13443000000.0,
GLW,2009-06-30,2009-07-29,611000000,19604000000.0,13803000000.0,
GLW,2009-09-30,2009-11-02,643000000,20747000000.0,14967000000.0,
GLW,2009-12-31,2010-02-10,740000000,21295000000.0,15543000000.0,
GLW,2010-03-31,2010-04-30,816000000,21727000000.0,16302000000.0,
GLW,2010-06-30,2010-07-30,913000000,22541000000.0,16992000000.0,
GLW,2010-09-30,2010-11-01,785000000,24670000000.0,18416000000.0,
GLW,2010-12-31,2011-02-10,1044000000,25833000000.0,19375000000.0,
GLW,2011-03-31,2011-04-29,748000000,26660000000.0,20304000000.0,
GLW,2011-06-30,2011-07-29,755000000,27825000000.0,21255000000.0,
GLW,2011-09-30,2011-10-27,811000000,28173000000.0,21640000000.0,
GLW,2011-12-31,2012-02-13,491000000,27848000000.0,21078000000.0,
GLW,2012-03-31,2012-04-27,462000000,28489000000.0,21317000000.0,
GLW,2012-06-30,2012-07-27,462000000,28754000000.0,21354000000.0,
GLW,2012-09-30,2012-10-25,521000000,29410000000.0,21839000000.0,
GLW,2012-12-31,2013-02-13,283000000,29375000000.0,21486000000.0,
GLW,2013-03-31,2013-04-26,494000000,28595000000.0,21344000000.0,
GLW,2013-06-30,2013-07-31,638000000,28389000000.0,21378000000.0,
GLW,2013-09-30,2013-10-30,408000000,28714000000.0,21749000000.0,
GLW,2013-12-31,2014-02-10,421000000,28478000000.0,21162000000.0,
GLW,2014-03-31,2014-04-28,301000000,29544000000.0,21650000000.0,
GLW,2014-06-30,2014-07-31,169000000,29832000000.0,21763000000.0,
GLW,2014-09-30,2014-10-29,1014000000,29815000000.0,21779000000.0,
GLW,2014-12-31,2015-02-13,988000000,30063000000.0,21579000000.0,
GLW,2015-03-31,2015-05-01,407000000,29323000000.0,21298000000.0,
GLW,2015-06-30,2015-07-30,496000000,29888000000.0,20983000000.0,
GLW,2015-09-30,2015-10-27,212000000,28898000000.0,19997000000.0,
GLW,2015-12-31,2016-02-12,224000000,28547000000.0,18788000000.0,
GLW,2016-03-31,2016-04-29,-368000000,27945000000.0,17918000000.0,
GLW,2016-06-30,2016-07-27,2207000000,30653000000.0,19609000000.0,
GLW,2016-09-30,2016-10-27,284000000,28809000000.0,17721000000.0,
GLW,2016-12-31,2017-02-06,1572000000,27899000000.0,17893000000.0,
GLW,2017-03-31,2017-04-25,86000000,28305000000.0,18308000000.0,191000000.0
GLW,2017-06-30,2017-07-26,439000000,27830000000.0,18012000000.0,
GLW,2017-09-30,2017-10-26,390000000,28094000000.0,17317000000.0,
GLW,2017-12-31,2018-02-15,-1412000000,27494000000.0,15698000000.0,888000000.0
GLW,2018-03-31,2018-04-26,-589000000,26834000000.0,14413000000.0,320000000.0
GLW,2018-06-30,2018-07-27,738000000,26140000000.0,13877000000.0,
GLW,2018-09-30,2018-10-24,625000000,26392000000.0,13890000000.0,
GLW,2018-12-31,2019-02-12,292000000,27505000000.0,13792000000.0,941000000.0
GLW,2019-03-31,2019-05-03,499000000,27321000000.0,13607000000.0,-29000000.0
GLW,2019-06-30,2019-07-31,92000000,27575000000.0,13425000000.0,
GLW,2019-09-30,2019-10-30,337000000,27329000000.0,13034000000.0,
GLW,2019-12-31,2020-02-18,32000000,28898000000.0,12907000000.0,1018000000.0
GLW,2020-03-31,2020-05-05,-96000000,27859000000.0,12198000000.0,248000000.0
GLW,2020-06-30,2020-07-30,-71000000,27546000000.0,12049000000.0,
GLW,2020-09-30,2020-10-29,427000000,30267000000.0,12660000000.0,
GLW,2020-12-31,2021-02-12,252000000,30775000000.0,13257000000.0,774000000.0
GLW,2021-03-31,2021-04-30,599000000,30143000000.0,13369000000.0,723000000.0
GLW,2021-06-30,2021-07-27,449000000,29806000000.0,11960000000.0,
GLW,2021-09-30,2021-10-29,371000000,29706000000.0,12145000000.0,
GLW,2021-12-31,2022-02-14,487000000,30154000000.0,12333000000.0,1023000000.0
GLW,2022-03-31,2022-04-29,581000000,30257000000.0,12395000000.0,534000000.0
GLW,2022-06-30,2022-07-29,563000000,29718000000.0,11734000000.0,
GLW,2022-09-30,2022-10-27,208000000,28735000000.0,11284000000.0,
GLW,2022-12-31,2023-02-13,-36000000,29499000000.0,12008000000.0,617000000.0
GLW,2023-03-31,2023-04-28,176000000,28822000000.0,11925000000.0,-49000000.0
GLW,2023-06-30,2023-07-27,281000000,28645000000.0,11412000000.0,
GLW,2023-09-30,2023-10-30,164000000,28278000000.0,11430000000.0,
GLW,2023-12-31,2024-02-12,-40000000,28500000000.0,11551000000.0,713000000.0
GLW,2024-03-31,2024-05-02,209000000,27618000000.0,11226000000.0,96000000.0
GLW,2024-06-30,2024-08-02,104000000,27179000000.0,10585000000.0,
GLW,2024-09-30,2024-11-01,-117000000,28322000000.0,11103000000.0,
GLW,2024-12-31,2025-02-13,310000000,27735000000.0,10686000000.0,623000000.0
GLW,2025-03-31,2025-05-02,157000000,27394000000.0,10716000000.0,151000000.0
GLW,2025-06-30,2025-08-01,469000000,28745000000.0,11116000000.0,
GLW,2025-09-30,2025-10-31,430000000,29916000000.0,11536000000.0,
GLW,2025-12-31,2026-02-12,540000000,30976000000.0,11807000000.0,1052000000.0
