ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
HLT,2013-06-30,2014-08-01,155000000,,,,,
HLT,2013-09-30,2014-10-31,200000000,,,,,
HLT,2014-03-31,2014-05-09,123000000,26393000000.0,4536000000.0,147000000.0,43000000.0,104000000.0
HLT,2014-06-30,2014-08-01,209000000,26497000000.0,4834000000.0,,,
HLT,2014-09-30,2014-10-31,183000000,26324000000.0,4790000000.0,,,
HLT,2014-12-31,2015-02-18,158000000,26125000000.0,4752000000.0,467000000.0,84000000.0,383000000.0
HLT,2015-03-31,2015-04-29,150000000,25905000000.0,4662000000.0,286000000.0,88000000.0,198000000.0
HLT,2015-06-30,2015-07-29,161000000,26051000000.0,5105000000.0,,,
HLT,2015-09-30,2015-10-28,279000000,25932000000.0,5214000000.0,,,
HLT,2015-12-31,2016-02-26,814000000,25716000000.0,5985000000.0,403000000.0,96000000.0,307000000.0
HLT,2016-03-31,2016-04-27,309000000,25721000000.0,6237000000.0,312000000.0,84000000.0,228000000.0
HLT,2016-06-30,2016-07-27,239000000,25853000000.0,6375000000.0,,,
HLT,2016-09-30,2016-10-26,187000000,25871000000.0,6516000000.0,,,
HLT,2016-12-31,2017-02-15,-387000000,26211000000.0,5899000000.0,414000000.0,90000000.0,324000000.0
HLT,2017-03-31,2017-05-02,74000000,14287000000.0,1598000000.0,63000000.0,9000000.0,54000000.0
HLT,2017-06-30,2017-07-26,166000000,14269000000.0,1515000000.0,,,
HLT,2017-09-30,2017-10-26,179000000,14223000000.0,1447000000.0,,,
HLT,2017-12-31,2018-02-14,840000000,14308000000.0,2072000000.0,278000000.0,22000000.0,256000000.0
HLT,2018-03-31,2018-04-26,161000000,14260000000.0,1742000000.0,243000000.0,10000000.0,233000000.0
HLT,2018-06-30,2018-07-25,217000000,13986000000.0,555000000.0,,,
HLT,2018-09-30,2018-10-24,162000000,14143000000.0,574000000.0,,,
HLT,2018-12-31,2019-02-13,224000000,13995000000.0,551000000.0,341000000.0,21000000.0,320000000.0
HLT,2019-03-31,2019-05-01,158000000,14853000000.0,100000000.0,364000000.0,23000000.0,341000000.0
HLT,2019-06-30,2019-07-24,260000000,15140000000.0,-30000000.0,,,
HLT,2019-09-30,2019-10-23,288000000,15067000000.0,-208000000.0,,,
HLT,2019-12-31,2020-02-11,175000000,14957000000.0,-482000000.0,202000000.0,15000000.0,187000000.0
HLT,2020-03-31,2020-05-07,18000000,15788000000.0,-914000000.0,129000000.0,12000000.0,117000000.0
HLT,2020-06-30,2020-08-06,-430000000,17126000000.0,-1299000000.0,,,
HLT,2020-09-30,2020-11-04,-79000000,17129000000.0,-1324000000.0,,,
HLT,2020-12-31,2021-02-17,-224000000,16755000000.0,-1490000000.0,-138000000.0,8000000.0,-146000000.0
HLT,2021-03-31,2021-05-05,-108000000,15974000000.0,-1623000000.0,-171000000.0,3000000.0,-174000000.0
HLT,2021-06-30,2021-07-29,130000000,15090000000.0,-1417000000.0,,,
HLT,2021-09-30,2021-10-27,241000000,15314000000.0,-1128000000.0,,,
HLT,2021-12-31,2022-02-16,147000000,15441000000.0,-821000000.0,131000000.0,18000000.0,113000000.0
HLT,2022-03-31,2022-05-03,212000000,15459000000.0,-698000000.0,195000000.0,4000000.0,191000000.0
HLT,2022-06-30,2022-07-27,368000000,15382000000.0,-789000000.0,,,
HLT,2022-09-30,2022-10-26,347000000,15508000000.0,-913000000.0,,,
HLT,2022-12-31,2023-02-09,328000000,15512000000.0,-1102000000.0,482000000.0,20000000.0,462000000.0
HLT,2023-03-31,2023-04-26,206000000,15211000000.0,-1420000000.0,330000000.0,44000000.0,286000000.0
HLT,2023-06-30,2023-07-26,411000000,15297000000.0,-1431000000.0,,,
HLT,2023-09-30,2023-10-25,377000000,15200000000.0,-1763000000.0,,,
HLT,2023-12-31,2024-02-07,147000000,15401000000.0,-2360000000.0,465000000.0,42000000.0,423000000.0
HLT,2024-03-31,2024-04-24,265000000,15932000000.0,-2833000000.0,346000000.0,16000000.0,330000000.0
HLT,2024-06-30,2024-08-07,421000000,15737000000.0,-3116000000.0,,,
HLT,2024-09-30,2024-10-23,344000000,16689000000.0,-3470000000.0,,,
HLT,2024-12-31,2025-02-06,505000000,16522000000.0,-3727000000.0,582000000.0,48000000.0,534000000.0
HLT,2025-03-31,2025-04-29,300000000,16043000000.0,-4378000000.0,452000000.0,19000000.0,433000000.0
HLT,2025-06-30,2025-07-23,440000000,15904000000.0,-4590000000.0,,,
HLT,2025-09-30,2025-10-22,420000000,16641000000.0,-4932000000.0,,,
HLT,2025-12-31,2026-02-11,297000000,16774000000.0,-5388000000.0,203000000.0,30000000.0,173000000.0
