ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
HOOD,2020-09-30,2021-10-29,-10661000,,-92615000,
HOOD,2021-06-30,2021-08-18,-501665000,18088582000.0,-1984764000,
HOOD,2021-09-30,2021-10-29,-1316697000,19317368000.0,7384582000,
HOOD,2021-12-31,2022-02-24,-423267000,19769179000.0,7293092000,-275632000.0
HOOD,2022-03-31,2022-05-06,-392000000,18872000000.0,7131000000,437000000.0
HOOD,2022-06-30,2022-08-03,-295000000,24548000000.0,7017000000,
HOOD,2022-09-30,2022-11-03,-175000000,24601000000.0,6954000000,
HOOD,2022-12-31,2023-02-27,-166000000,23337000000.0,6956000000,181000000.0
HOOD,2023-03-31,2023-05-10,-511000000,27785000000.0,7046000000,828000000.0
HOOD,2023-06-30,2023-08-03,25000000,28660000000.0,7187000000,
HOOD,2023-09-30,2023-11-07,-85000000,26318000000.0,6574000000,
HOOD,2023-12-31,2024-02-27,30000000,32332000000.0,6696000000,960000000.0
HOOD,2024-03-31,2024-05-08,157000000,46088000000.0,6885000000,-623000000.0
HOOD,2024-06-30,2024-08-08,188000000,41346000000.0,7122000000,
HOOD,2024-09-30,2024-10-31,150000000,43245000000.0,7208000000,
HOOD,2024-12-31,2025-02-18,916000000,26187000000.0,7972000000,-1400000000.0
HOOD,2025-03-31,2025-05-01,336000000,27517000000.0,7953000000,642000000.0
HOOD,2025-06-30,2025-07-31,386000000,35324000000.0,8072000000,
HOOD,2025-09-30,2025-11-06,556000000,41452000000.0,8567000000,
HOOD,2025-12-31,2026-02-18,605000000,38137000000.0,8567000000,-937000000.0
