ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
IR,2016-06-30,2017-08-04,-3900000,4462000000,,
IR,2016-09-30,2017-10-27,-12900000,4462000000,,
IR,2017-03-31,2018-04-27,-7100000,4316000000,265900000.0,-2600000.0
IR,2017-06-30,2017-08-04,-146300000,4422900000,1209000000.0,
IR,2017-09-30,2017-10-27,28000000,4552600000,1271800000.0,
IR,2017-12-31,2018-02-16,143600000,4621200000,1476800000.0,116600000.0
IR,2018-03-31,2018-04-27,42400000,4775400000,1476800000.0,60200000.0
IR,2018-06-30,2018-08-03,60300000,4604600000,1476800000.0,
IR,2018-09-30,2018-10-29,72200000,4516400000,1476800000.0,
IR,2018-12-31,2019-02-27,94500000,4487100000,1476800000.0,146200000.0
IR,2019-03-31,2019-04-30,47100000,4566800000,1476800000.0,68800000.0
IR,2019-06-30,2019-08-02,44900000,4594300000,1476800000.0,
IR,2019-09-30,2019-10-30,41300000,4553800000,1476800000.0,
IR,2019-12-31,2020-02-26,25700000,4628400000,1869900000.0,99000000.0
IR,2020-03-31,2020-05-15,-36800000,15358300000,8686200000.0,68400000.0
IR,2020-06-30,2020-08-04,-177600000,15433300000,8574900000.0,
IR,2020-09-30,2020-11-03,29500000,15610500000,8771700000.0,
IR,2020-12-31,2021-02-26,151600000,16058600000,9119700000.0,411800000.0
IR,2021-03-31,2021-04-30,-90400000,15861900000,8956700000.0,
IR,2021-06-30,2021-07-30,233900000,16176700000,9277900000.0,
IR,2021-09-30,2021-11-05,126000000,14922800000,8653600000.0,
IR,2021-12-31,2022-02-25,293000000,15154500000,9001500000.0,
IR,2022-03-31,2022-05-06,103700000,15104800000,8992200000.0,
IR,2022-06-30,2022-08-05,138500000,14221400000,8776900000.0,
IR,2022-09-30,2022-11-04,145100000,14225600000,8750900000.0,
IR,2022-12-31,2023-02-21,217400000,14765900000,9195800000.0,
IR,2023-03-31,2023-05-05,161100000,14995000000,9317300000.0,170300000.0
IR,2023-06-30,2023-08-04,179500000,15028600000,9414800000.0,
IR,2023-09-30,2023-11-03,208300000,15154000000,9554000000.0,
IR,2023-12-31,2024-02-23,229800000,15563500000,9783800000.0,581400000.0
IR,2024-03-31,2024-05-03,202200000,15529000000,9855300000.0,161600000.0
IR,2024-06-30,2024-08-02,185000000,17838500000,9958200000.0,
IR,2024-09-30,2024-11-01,221600000,18206200000,10267600000.0,
IR,2024-12-31,2025-02-19,229800000,18009800000,10179000000.0,526200000.0
IR,2025-03-31,2025-05-02,186500000,18379400000,10484800000.0,256400000.0
IR,2025-06-30,2025-07-31,-115300000,18059100000,10087300000.0,
IR,2025-09-30,2025-10-31,244100000,18190200000,10122500000.0,
IR,2025-12-31,2026-02-17,266100000,18297200000,10089800000.0,499000000.0
