ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
IT,2009-09-30,2010-11-03,20067000,,-21316000,
IT,2010-03-31,2011-05-05,19403000,1215279000.0,112535000,-7966000.0
IT,2010-06-30,2010-08-09,20113000,1174271000.0,106981000,
IT,2010-09-30,2010-11-03,20075000,1236373000.0,154223000,
IT,2010-12-31,2011-02-15,36694000,1285658000.0,187056000,79124000.0
IT,2011-03-31,2011-05-05,29191000,1275374000.0,210030000,-24663000.0
IT,2011-06-30,2011-08-02,32223000,1295972000.0,215819000,
IT,2011-09-30,2011-11-01,30464000,1304431000.0,194067000,
IT,2011-12-31,2012-02-23,45024000,1379872000.0,181784000,79101000.0
IT,2012-03-31,2012-05-03,34221000,1349848000.0,171781000,18679000.0
IT,2012-06-30,2012-08-03,41484000,1380115000.0,214991000,
IT,2012-09-30,2012-11-06,31375000,1479148000.0,261465000,
IT,2012-12-31,2013-02-22,58823000,1621277000.0,306673000,71062000.0
IT,2013-03-31,2013-05-02,36675000,1567395000.0,319157000,19693000.0
IT,2013-06-30,2013-08-02,46514000,1613787000.0,328694000,
IT,2013-09-30,2013-11-07,38194000,1628398000.0,321635000,
IT,2013-12-31,2014-02-26,61418000,1783582000.0,361316000,73585000.0
IT,2014-03-31,2014-05-01,37736000,1757713000.0,236723000,16470000.0
IT,2014-06-30,2014-08-05,53040000,1796808000.0,197509000,
IT,2014-09-30,2014-11-06,33846000,1768953000.0,152523000,
IT,2014-12-31,2015-02-27,59144000,1904351000.0,161171000,71170000.0
IT,2015-03-31,2015-05-07,28351000,1789370000.0,-139513000,5663000.0
IT,2015-06-30,2015-07-30,51155000,1861039000.0,-170155000,
IT,2015-09-30,2015-11-05,30366000,2091542000.0,-159589000,
IT,2015-12-31,2016-02-24,65763000,2174686000.0,-132400000,79254000.0
IT,2016-03-31,2016-05-05,40167000,2211509000.0,-112670000,8580000.0
IT,2016-06-30,2016-08-04,47911000,2304521000.0,-52828000,148452000.0
IT,2016-09-30,2016-11-03,30484000,2277740000.0,-10498000,
IT,2016-12-31,2017-02-22,66485000,2367335000.0,60878000,83369000.0
IT,2017-03-31,2017-05-04,36433000,3365300000.0,102817000,-29605000.0
IT,2017-06-30,2017-08-08,-92281000,6994887000.0,853675000,
IT,2017-09-30,2017-11-02,-48180000,7011492000.0,863410000,
IT,2017-12-31,2018-02-22,107307000,7283173000.0,983465000,22250000.0
IT,2018-03-31,2018-05-08,-19587000,6915028000.0,987571000,2724000.0
IT,2018-06-30,2018-08-01,46270000,6152937000.0,921432000,
IT,2018-09-30,2018-11-01,11753000,5944817000.0,941548000,
IT,2018-12-31,2019-02-22,84020000,6201474000.0,850757000,45147000.0
IT,2019-03-31,2019-05-07,20795000,6714675000.0,856897000,35596000.0
IT,2019-06-30,2019-07-30,103406000,6729641000.0,963802000,
IT,2019-09-30,2019-10-31,41388000,6737344000.0,919657000,
IT,2019-12-31,2020-02-19,67701000,7151294000.0,938593000,82835000.0
IT,2020-03-31,2020-05-07,75097000,6800346000.0,890275000,55749000.0
IT,2020-06-30,2020-08-04,55077000,6810294000.0,991219000,
IT,2020-09-30,2020-11-03,16964000,6840602000.0,1037503000,
IT,2020-12-31,2021-02-24,119607000,7315967000.0,1090428000,260448000.0
IT,2021-03-31,2021-05-04,164100000,6937858000.0,891594000,157298000.0
IT,2021-06-30,2021-08-03,271236000,7188340000.0,527638000,
IT,2021-09-30,2021-11-02,148865000,6994639000.0,334507000,
IT,2021-12-31,2022-02-23,209359000,7416324000.0,371058000,234786000.0
IT,2022-03-31,2022-05-03,172515000,6985453000.0,118153000,167785000.0
IT,2022-06-30,2022-08-02,204925000,6590594000.0,-142867000,
IT,2022-09-30,2022-11-01,173545000,6525954000.0,-64926000,
IT,2022-12-31,2023-02-16,256814000,7299736000.0,227798000,203109000.0
IT,2023-03-31,2023-05-02,295783000,7378932000.0,472858000,164679000.0
IT,2023-06-30,2023-08-01,198043000,7355933000.0,586506000,
IT,2023-09-30,2023-11-03,180009000,7244404000.0,566638000,
IT,2023-12-31,2024-02-15,208631000,7835919000.0,680634000,224330000.0
IT,2024-03-31,2024-04-30,210545000,7709810000.0,718174000,188836000.0
IT,2024-06-30,2024-07-30,229548000,7430709000.0,646659000,
IT,2024-09-30,2024-11-05,415049000,7845450000.0,1064682000,
IT,2024-12-31,2025-02-13,398573000,8534671000.0,1359169000,335355000.0
IT,2025-03-31,2025-05-06,210939000,8479761000.0,1497854000,313512000.0
IT,2025-06-30,2025-08-05,240783000,8327787000.0,1532626000,
IT,2025-09-30,2025-11-04,35357000,7249066000.0,556552000,
IT,2025-12-31,2026-02-12,242152000,8085400000.0,319908000,294544000.0
