ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
JBL,2010-05-31,2011-06-30,52031000,,,,,
JBL,2010-11-30,2011-01-07,106677000,6384454000.0,1691411000.0,-82728000.0,101269000.0,-183997000.0
JBL,2011-02-28,2011-04-08,55403000,6612785000.0,1792186000.0,,,
JBL,2011-05-31,2011-06-30,104695000,6955568000.0,1933355000.0,,,
JBL,2011-08-31,2011-10-27,114288000,7057940000.0,1867120000.0,303592000.0,138024000.0,165568000.0
JBL,2011-11-30,2012-01-09,112872000,7199374000.0,1898499000.0,114573000.0,103234000.0,11339000.0
JBL,2012-02-29,2012-04-06,97698000,7167054000.0,2000832000.0,,,
JBL,2012-05-31,2012-07-03,101320000,7372838000.0,2013566000.0,,,
JBL,2012-08-31,2012-10-25,82797000,7803141000.0,2105057000.0,442699000.0,205905000.0,236794000.0
JBL,2012-11-30,2013-01-08,105847000,8185500000.0,2073713000.0,151914000.0,166485000.0,-14571000.0
JBL,2013-02-28,2013-04-05,88533000,8247641000.0,2176103000.0,,,
JBL,2013-05-31,2013-07-02,50083000,8133484000.0,2205587000.0,,,
JBL,2013-08-31,2013-10-28,127019000,9153781000.0,2335287000.0,404208000.0,283865000.0,120343000.0
JBL,2013-11-30,2014-01-09,117922000,9029402000.0,2390872000.0,117706000.0,202992000.0,-85286000.0
JBL,2014-02-28,2014-04-07,-38667000,8128208000.0,2295377000.0,,,
JBL,2014-05-31,2014-06-30,188255000,8221330000.0,2409209000.0,,,
JBL,2014-08-31,2014-10-21,-26197000,8479746000.0,2241828000.0,89469000.0,209331000.0,-119862000.0
JBL,2014-11-30,2015-01-09,72162000,8869908000.0,2235158000.0,189101000.0,197676000.0,-8575000.0
JBL,2015-02-28,2015-04-07,51952000,8578156000.0,2244565000.0,,,
JBL,2015-05-31,2015-06-22,72203000,8965533000.0,2311660000.0,,,
JBL,2015-08-31,2015-10-16,87702000,9603207000.0,2314856000.0,357361000.0,227686000.0,129675000.0
JBL,2015-11-30,2016-01-06,131885000,10221152000.0,2382605000.0,145229000.0,252098000.0,-106869000.0
JBL,2016-02-29,2016-04-05,78930000,9898202000.0,2466991000.0,,,
JBL,2016-05-31,2016-06-30,5213000,9906074000.0,2492452000.0,,,
JBL,2016-08-31,2016-10-20,38067000,10322677000.0,2438171000.0,428260000.0,255734000.0,172526000.0
JBL,2016-11-30,2017-01-09,88027000,10543846000.0,2373945000.0,151940000.0,163866000.0,-11926000.0
JBL,2017-02-28,2017-04-05,20665000,10014828000.0,2411308000.0,,,
JBL,2017-05-31,2017-06-30,-25281000,10329649000.0,2327477000.0,,,
JBL,2017-08-31,2017-10-19,45679000,11095995000.0,2353514000.0,723620000.0,233746000.0,489874000.0
JBL,2017-11-30,2018-01-04,63795000,11519565000.0,2329739000.0,-53587000.0,218617000.0,-272204000.0
JBL,2018-02-28,2018-04-05,37308000,11488257000.0,2282095000.0,,,
JBL,2018-05-31,2018-06-28,42541000,11175510000.0,2173141000.0,,,
JBL,2018-08-31,2018-10-19,-57314000,12045641000.0,1950257000.0,738999000.0,217484000.0,521515000.0
JBL,2018-11-30,2019-01-09,123600000,12778337000.0,1891916000.0,-91693000.0,231513000.0,-323206000.0
JBL,2019-02-28,2019-04-04,67354000,12476594000.0,1847175000.0,,,
JBL,2019-05-31,2019-06-28,43482000,12608777000.0,1854973000.0,,,
