ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
KMB,2009-06-30,2009-08-07,403000000,18146000000.0,4496000000.0,
KMB,2009-12-31,2010-02-24,492000000,19209000000.0,5406000000.0,1001000000.0
KMB,2010-03-31,2010-05-07,384,18997.0,5396.0,464.0
KMB,2010-06-30,2010-08-09,498000000,18713000000.0,5015000000.0,
KMB,2010-09-30,2010-11-08,469000000,19486000000.0,5660000000.0,
KMB,2010-12-31,2011-02-23,492000000,19864000000.0,5917000000.0,948000000.0
KMB,2011-03-31,2011-05-09,350000000,19992000000.0,5434000000.0,250000000.0
KMB,2011-06-30,2011-08-05,408000000,20480000000.0,5556000000.0,
KMB,2011-09-30,2011-11-04,432000000,19630000000.0,5179000000.0,
KMB,2011-12-31,2012-02-29,401000000,19373000000.0,5249000000.0,517000000.0
KMB,2012-03-31,2012-05-04,468000000,19557000000.0,5353000000.0,585000000.0
KMB,2012-06-30,2012-08-03,498000000,19596000000.0,5437000000.0,
KMB,2012-09-30,2012-11-05,517000000,20037000000.0,5535000000.0,
KMB,2012-12-31,2013-02-22,267000000,19873000000.0,4985000000.0,1119000000.0
KMB,2013-03-31,2013-05-02,531000000,19746000000.0,4700000000.0,607000000.0
KMB,2013-06-30,2013-08-02,526000000,19514000000.0,4373000000.0,
KMB,2013-09-30,2013-11-01,546000000,19364000000.0,4667000000.0,
KMB,2013-12-31,2014-02-14,539000000,18919000000.0,4856000000.0,
KMB,2014-03-31,2014-04-21,538000000,19002000000.0,4668000000.0,
KMB,2014-06-30,2014-07-22,509000000,19377000000.0,4614000000.0,
KMB,2014-09-30,2014-10-21,562000000,18876000000.0,4265000000.0,
KMB,2014-12-31,2015-02-18,-83000000,15526000000.0,729000000.0,
KMB,2015-03-31,2015-04-21,468000000,15053000000.0,193000000.0,20000000.0
KMB,2015-06-30,2015-07-23,-305000000,15346000000.0,516000000.0,
KMB,2015-09-30,2015-10-21,517000000,14928000000.0,54000000.0,
KMB,2015-12-31,2016-02-11,333000000,14842000000.0,-174000000.0,665000000.0
KMB,2016-03-31,2016-04-22,545000000,14820000000.0,109000000.0,553000000.0
KMB,2016-06-30,2016-07-25,566000000,14770000000.0,196000000.0,
KMB,2016-09-30,2016-10-24,550000000,14899000000.0,299000000.0,
KMB,2016-12-31,2017-02-08,505000000,14602000000.0,-102000000.0,871000000.0
KMB,2017-03-31,2017-04-24,563000000,14758000000.0,136000000.0,436000000.0
KMB,2017-06-30,2017-07-25,531000000,15070000000.0,102000000.0,
KMB,2017-09-30,2017-10-23,567000000,15049000000.0,259000000.0,
KMB,2017-12-31,2018-02-08,617000000,15151000000.0,629000000.0,863000000.0
KMB,2018-03-31,2018-04-23,93000000,15303000000.0,317000000.0,542000000.0
KMB,2018-06-30,2018-07-24,455000000,14564000000.0,-57000000.0,
KMB,2018-09-30,2018-10-22,451000000,14583000000.0,-133000000.0,
KMB,2018-12-31,2019-02-07,411000000,14518000000.0,-287000000.0,949000000.0
KMB,2019-03-31,2019-04-22,454000000,15204000000.0,-305000000.0,317000000.0
KMB,2019-06-30,2019-07-23,485000000,15347000000.0,-178000000.0,
KMB,2019-09-30,2019-10-22,671000000,15033000000.0,-141000000.0,
KMB,2019-12-31,2020-02-13,547000000,15283000000.0,-33000000.0,924000000.0
KMB,2020-03-31,2020-04-22,660000000,15677000000.0,-167000000.0,704000000.0
KMB,2020-06-30,2020-07-23,681000000,16173000000.0,268000000.0,
KMB,2020-09-30,2020-10-22,472000000,16531000000.0,335000000.0,
KMB,2020-12-31,2021-02-11,539000000,17523000000.0,626000000.0,887000000.0
KMB,2021-03-31,2021-04-23,584000000,17226000000.0,518000000.0,321000000.0
KMB,2021-06-30,2021-07-23,404000000,17827000000.0,524000000.0,
KMB,2021-09-30,2021-10-25,469000000,17775000000.0,474000000.0,
KMB,2021-12-31,2022-02-10,357000000,17837000000.0,514000000.0,1062000000.0
KMB,2022-03-31,2022-04-22,523000000,18672000000.0,705000000.0,204000000.0
KMB,2022-06-30,2022-07-26,437000000,18114000000.0,593000000.0,
KMB,2022-09-30,2022-10-25,467000000,17836000000.0,437000000.0,
KMB,2022-12-31,2023-02-09,507000000,17970000000.0,547000000.0,991000000.0
KMB,2023-03-31,2023-04-25,566000000,18177000000.0,719000000.0,613000000.0
KMB,2023-06-30,2023-07-25,102000000,17383000000.0,500000000.0,
KMB,2023-09-30,2023-10-24,587000000,17153000000.0,680000000.0,
KMB,2023-12-31,2024-02-08,509000000,17344000000.0,915000000.0,1215000000.0
KMB,2024-03-31,2024-04-23,647000000,17092000000.0,1044000000.0,438000000.0
KMB,2024-06-30,2024-07-23,544000000,17280000000.0,1136000000.0,
KMB,2024-09-30,2024-10-22,907000000,17165000000.0,1285000000.0,
KMB,2024-12-31,2025-02-13,447000000,16546000000.0,840000000.0,817000000.0
KMB,2025-03-31,2025-04-22,567000000,16305000000.0,1101000000.0,327000000.0
KMB,2025-06-30,2025-08-01,509000000,16771000000.0,1271000000.0,
KMB,2025-09-30,2025-10-30,446000000,16888000000.0,1332000000.0,
KMB,2025-12-31,2026-02-12,499000000,17098000000.0,1502000000.0,972000000.0
