ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
LITE,2015-09-26,2015-11-17,-200000,649700000,467000000,10600000.0,13900000.0,-3300000.0
LITE,2015-12-26,2016-02-04,2800000,682000000,470900000,,,
LITE,2016-04-02,2016-05-04,-7600000,704900000,476700000,,,
LITE,2016-07-02,2016-09-02,14300000,726300000,497400000,13100000.0,18600000.0,-5500000.0
LITE,2016-10-01,2016-10-27,-3400000,737500000,495700000,36300000.0,28900000.0,7400000.0
LITE,2016-12-31,2017-02-07,11800000,796700000,516400000,,,
LITE,2017-04-01,2017-05-04,-56000000,1244500000,468600000,,,
LITE,2017-07-01,2017-08-29,-54900000,1232900000,618800000,13100000.0,38100000.0,-25000000.0
LITE,2017-09-30,2017-11-01,7100000,1248400000,641100000,9700000.0,33000000.0,-23300000.0
LITE,2017-12-30,2018-02-06,204800000,1507400000,864300000,,,
LITE,2018-03-31,2018-05-02,2700000,1518200000,876600000,,,
LITE,2018-06-30,2018-08-28,33500000,1581500000,926100000,37600000.0,20300000.0,17300000.0
LITE,2018-09-29,2018-11-01,47400000,1645000000,983500000,57200000.0,29600000.0,27600000.0
LITE,2018-12-29,2019-02-07,16300000,2796600000,1559700000,,,
LITE,2019-03-30,2019-05-07,-74300000,2771400000,1503900000,,,
LITE,2019-06-29,2019-08-27,-25800000,2716600000,1497100000,127700000.0,85500000.0,42200000.0
LITE,2019-09-28,2019-10-31,47600000,2867800000,1561300000,87500000.0,21700000.0,65800000.0
LITE,2019-12-28,2020-02-04,49100000,3221200000,1681600000,,,
LITE,2020-03-28,2020-05-05,43400000,3268700000,1734200000,,,
LITE,2020-06-27,2020-08-25,-4600000,3292600000,1749200000,122700000.0,21100000.0,101600000.0
LITE,2020-09-26,2020-11-02,67100000,3387400000,1816100000,104700000.0,26300000.0,78400000.0
LITE,2020-12-26,2021-02-02,83200000,3468200000,1921900000,,,
LITE,2021-04-03,2021-05-12,225500000,3745900000,2165000000,,,
LITE,2021-07-03,2021-08-31,21500000,3551600000,1972800000,124200000.0,18400000.0,105800000.0
LITE,2021-10-02,2021-11-04,81500000,3519000000,1971400000,61900000.0,17900000.0,44000000.0
LITE,2022-01-01,2022-02-03,56700000,3615700000,2021900000,,,
LITE,2022-04-02,2022-05-04,26000000,4133500000,1912100000,,,
LITE,2022-07-02,2022-08-24,34700000,4162200000,1875000000,114300000.0,28600000.0,85700000.0
LITE,2022-10-01,2022-11-08,-400000,4387400000,1526400000,20800000.0,22900000.0,-2100000.0
LITE,2022-12-31,2023-02-09,-31700000,4418100000,1543600000,,,
LITE,2023-04-01,2023-05-09,-39300000,4354000000,1538000000,,,
LITE,2023-07-01,2023-08-23,-60200000,4632100000,1355800000,49200000.0,36300000.0,12900000.0
LITE,2023-09-30,2023-11-08,-67900000,4545000000,1310800000,-2300000.0,57800000.0,-60100000.0
LITE,2023-12-30,2024-02-08,-99100000,4656000000,1277800000,,,
LITE,2024-03-30,2024-05-07,-127000000,4204500000,1176700000,,,
LITE,2024-06-29,2024-08-21,-252500000,3931900000,957300000,35500000.0,24600000.0,10900000.0
LITE,2024-09-28,2024-11-08,-82400000,3969600000,895900000,39600000.0,74100000.0,-34500000.0
LITE,2024-12-28,2025-02-06,-60900000,3966100000,872300000,,,
LITE,2025-03-29,2025-05-07,-44100000,3975000000,879500000,,,
LITE,2025-06-28,2025-08-19,213300000,4218700000,1134700000,64000000.0,53900000.0,10100000.0
LITE,2025-09-27,2025-11-05,4200000,4613100000,780800000,57900000.0,76200000.0,-18300000.0
LITE,2025-12-27,2026-02-04,78200000,4805300000,846600000,,,
