ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
LVS,2010-06-30,2010-08-09,41807000,20267154000,5851771000.0,,,
LVS,2010-09-30,2010-11-09,214497000,20247997000,6111539000.0,,,
LVS,2010-12-31,2011-03-30,325509000,21044308000,6662991000.0,662153000.0,373717000.0,288436000.0
LVS,2011-03-31,2011-05-10,289323000,21236990000,6957581000.0,418378000.0,332508000.0,85870000.0
LVS,2011-06-30,2011-08-09,410637000,21737157000,7397998000.0,,,
LVS,2011-09-30,2011-11-09,424879000,21965251000,7629156000.0,,,
LVS,2011-12-31,2012-02-29,435284000,22244123000,7850689000.0,733323000.0,420888000.0,312435000.0
LVS,2012-03-31,2012-05-10,498942000,22871032000,8806476000.0,667451000.0,398260000.0,269191000.0
LVS,2012-06-30,2012-08-09,240587000,22416806000,8828748000.0,,,
LVS,2012-09-30,2012-11-09,349782000,23158362000,9068196000.0,,,
LVS,2012-12-31,2013-03-01,434782000,22163652000,7061842000.0,884924000.0,386456000.0,498468000.0
LVS,2013-03-31,2013-05-10,571961000,22010953000,7326043000.0,885518000.0,197191000.0,688327000.0
LVS,2013-06-30,2013-08-09,529753000,21783824000,7500105000.0,,,
LVS,2013-09-30,2013-11-07,626744000,22485095000,7586220000.0,,,
LVS,2013-12-31,2014-02-28,577539000,22724264000,7665494000.0,1278629000.0,298629000.0,980000000.0
LVS,2014-03-31,2014-05-07,776185000,22474601000,7286808000.0,1132627000.0,251727000.0,880900000.0
LVS,2014-06-30,2014-08-07,671434000,22249123000,7275762000.0,,,
LVS,2014-09-30,2014-11-05,671705000,22027781000,7207294000.0,,,
LVS,2014-12-31,2015-02-27,721305000,22361691000,7213586000.0,,385542000.0,
LVS,2015-03-31,2015-05-07,511923000,21046082000,7144063000.0,,367336000.0,
LVS,2015-06-30,2015-08-07,469173000,21608209000,7071384000.0,,,
LVS,2015-09-30,2015-11-05,519358000,20502890000,6891529000.0,,,
LVS,2015-12-31,2016-02-26,465782000,20987421000,6816741000.0,,415675000.0,
LVS,2016-03-31,2016-05-06,320167000,20384909000,6634988000.0,,343570000.0,
LVS,2016-06-30,2016-08-05,327966000,20980532000,6427488000.0,,,
LVS,2016-09-30,2016-11-04,513357000,20680660000,6343882000.0,,,
LVS,2016-12-31,2017-02-24,508510000,20469000000,6177000000.0,,294760000.0,
LVS,2017-03-31,2017-05-05,480000000,20042000000,5997000000.0,,202000000.0,
LVS,2017-06-30,2017-08-04,545000000,20142000000,5923000000.0,,,
LVS,2017-09-30,2017-11-03,570000000,19808000000,5896000000.0,,,
LVS,2017-12-31,2018-02-23,1211000000,20687000000,6493000000.0,1321000000.0,245000000.0,1076000000.0
LVS,2018-03-31,2018-04-27,1456000000,21504000000,7363000000.0,1397000000.0,238000000.0,1159000000.0
LVS,2018-06-30,2018-07-25,556000000,22855000000,7158000000.0,,,
LVS,2018-09-30,2018-10-26,571000000,23339000000,6862000000.0,,,
LVS,2018-12-31,2019-02-22,-170000000,22547000000,5684000000.0,1301000000.0,326000000.0,975000000.0
LVS,2019-03-31,2019-04-19,582000000,22313000000,5525000000.0,820000000.0,240000000.0,580000000.0
LVS,2019-06-30,2019-07-24,954000000,22594000000,5560000000.0,,,
LVS,2019-09-30,2019-10-25,533000000,22427000000,5359000000.0,,,
