ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
MPC,2011-06-30,2011-08-09,802000000,23964000000.0,8977000000,,,
MPC,2011-09-30,2011-11-09,1133000000,25225000000.0,10049000000,,,
MPC,2011-12-31,2012-02-29,-75000000,25745000000.0,9505000000,638000000.0,341000000.0,297000000.0
MPC,2012-03-31,2012-05-09,596000000,25306000000.0,9216000000,347000000.0,309000000.0,38000000.0
MPC,2012-06-30,2012-08-08,814000000,24681000000.0,10326000000,,,
MPC,2012-09-30,2012-11-09,1224000000,26583000000.0,11467000000,,,
MPC,2012-12-31,2013-02-28,755000000,27223000000.0,11694000000,2043000000.0,403000000.0,1640000000.0
MPC,2013-03-31,2013-05-09,725000000,30773000000.0,12000000000,2079000000.0,195000000.0,1884000000.0
MPC,2013-06-30,2013-08-08,593000000,29695000000.0,11784000000,,,
MPC,2013-09-30,2013-11-07,168000000,29003000000.0,10851000000,,,
MPC,2013-12-31,2014-02-28,626000000,28385000000.0,10920000000,1355000000.0,473000000.0,882000000.0
MPC,2014-03-31,2014-05-05,199000000,29159000000.0,10344000000,766000000.0,267000000.0,499000000.0
MPC,2014-06-30,2014-08-04,855000000,29376000000.0,10620000000,,,
MPC,2014-09-30,2014-11-03,672000000,31705000000.0,10849000000,,,
MPC,2014-12-31,2015-02-27,798000000,30460000000.0,10751000000,388000000.0,528000000.0,-140000000.0
MPC,2015-03-31,2015-05-04,891000000,30182000000.0,11338000000,1190000000.0,389000000.0,801000000.0
MPC,2015-06-30,2015-08-03,826000000,30653000000.0,11643000000,,,
MPC,2015-09-30,2015-11-02,948000000,30161000000.0,12277000000,,,
MPC,2015-12-31,2016-02-26,187000000,43115000000.0,13237000000,808000000.0,721000000.0,87000000.0
MPC,2016-03-31,2016-05-02,1000000,41758000000.0,12902000000,327000000.0,745000000.0,-418000000.0
MPC,2016-06-30,2016-08-03,801000000,44133000000.0,13490000000,,,
MPC,2016-09-30,2016-10-31,145000000,43293000000.0,13395000000,,,
MPC,2016-12-31,2017-02-24,227000000,44413000000.0,13557000000,991000000.0,745000000.0,246000000.0
MPC,2017-03-31,2017-05-01,30000000,45821000000.0,13070000000,1113000000.0,610000000.0,503000000.0
MPC,2017-06-30,2017-08-03,483000000,45447000000.0,12636000000,,,
MPC,2017-09-30,2017-10-30,903000000,46806000000.0,12930000000,,,
MPC,2017-12-31,2018-02-28,2016000000,49047000000.0,14033000000,2746000000.0,804000000.0,1942000000.0
MPC,2018-03-31,2018-04-30,37000000,50364000000.0,14988000000,-137000000.0,755000000.0,-892000000.0
MPC,2018-06-30,2018-08-06,1055000000,51736000000.0,14958000000,,,
MPC,2018-09-30,2018-11-05,737000000,53031000000.0,15166000000,,,
MPC,2018-12-31,2019-02-28,951000000,92940000000.0,35175000000,2727000000.0,1263000000.0,1464000000.0
MPC,2019-03-31,2019-05-09,-7000000,96436000000.0,33951000000,1623000000.0,1241000000.0,382000000.0
MPC,2019-06-30,2019-08-05,1106000000,96896000000.0,34207000000,,,
MPC,2019-09-30,2019-11-04,1095000000,98139000000.0,33738000000,,,
MPC,2019-12-31,2020-02-28,443000000,98556000000.0,33694000000,2409000000.0,1551000000.0,858000000.0
MPC,2020-03-31,2020-05-07,-9234000000,86317000000.0,24088000000,-768000000.0,1062000000.0,-1830000000.0
MPC,2020-06-30,2020-08-03,9000000,84593000000.0,23741000000,,,
MPC,2020-09-30,2020-11-06,-886000000,84020000000.0,22453000000,,,
MPC,2020-12-31,2021-02-26,285000000,85158000000.0,22199000000,1328000000.0,457000000.0,871000000.0
MPC,2021-03-31,2021-05-06,-242000000,86651000000.0,21592000000,454000000.0,304000000.0,150000000.0
MPC,2021-06-30,2021-08-04,8512000000,94300000000.0,28921000000,,,
MPC,2021-09-30,2021-11-02,694000000,89300000000.0,28280000000,,,
MPC,2021-12-31,2022-02-24,774000000,85373000000.0,26206000000,3674000000.0,481000000.0,3193000000.0
MPC,2022-03-31,2022-05-03,845000000,90952000000.0,23972000000,2513000000.0,495000000.0,2018000000.0
MPC,2022-06-30,2022-08-02,5873000000,96737000000.0,26306000000,,,
MPC,2022-09-30,2022-11-01,4477000000,89694000000.0,26304000000,,,
MPC,2022-12-31,2023-02-23,3321000000,89904000000.0,27715000000,4382000000.0,726000000.0,3656000000.0
MPC,2023-03-31,2023-05-02,2724000000,87037000000.0,26858000000,4057000000.0,457000000.0,3600000000.0
MPC,2023-06-30,2023-08-01,2226000000,86442000000.0,25714000000,,,
MPC,2023-09-30,2023-10-31,3280000000,89969000000.0,25862000000,,,
MPC,2023-12-31,2024-02-28,1451000000,85987000000.0,24404000000,1123000000.0,532000000.0,591000000.0
MPC,2024-03-31,2024-04-30,937000000,85528000000.0,22922000000,1532000000.0,585000000.0,947000000.0
MPC,2024-06-30,2024-08-06,1515000000,85229000000.0,21324000000,,,
MPC,2024-09-30,2024-11-05,622000000,79833000000.0,18933000000,,,
MPC,2024-12-31,2025-02-27,371000000,78858000000.0,17745000000,2207000000.0,810000000.0,1397000000.0
MPC,2025-03-31,2025-05-06,-74000000,81633000000.0,16396000000,-64000000.0,663000000.0,-727000000.0
MPC,2025-06-30,2025-08-05,1216000000,78484000000.0,16624000000,,,
MPC,2025-09-30,2025-11-04,1370000000,83240000000.0,17097000000,,,
MPC,2025-12-31,2026-02-26,1535000000,83955000000.0,17314000000,3069000000.0,1181000000.0,1888000000.0
