ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
PFG,2009-03-31,2010-05-05,121000000,128182400000.0,2472800000.0,
PFG,2009-06-30,2009-08-05,158600000,130706600000.0,5695200000.0,
PFG,2009-09-30,2009-11-04,192900000,137379500000.0,7508700000.0,
PFG,2009-12-31,2010-02-17,150200000,137759400000.0,7893500000.0,
PFG,2010-03-31,2010-05-05,199000000,140836700000.0,8555600000.0,
PFG,2010-06-30,2010-08-04,142300000,136596500000.0,8929500000.0,
PFG,2010-09-30,2010-11-03,150400000,143456600000.0,9895500000.0,
PFG,2011-03-31,2011-05-04,204500000,147549700000.0,10187600000.0,
PFG,2011-06-30,2011-08-03,266300000,149278400000.0,10402200000.0,
PFG,2011-09-30,2011-11-02,71900000,143302300000.0,9980300000.0,
PFG,2012-03-31,2012-05-02,209700000,153738200000.0,9364900000.0,
PFG,2012-06-30,2012-08-01,181400000,152050700000.0,9422700000.0,
PFG,2012-09-30,2012-10-31,187900000,159193300000.0,9827500000.0,
PFG,2013-03-31,2013-05-01,186500000,200762900000.0,9723600000.0,
PFG,2013-06-30,2013-07-31,230600000,196512700000.0,9303400000.0,
PFG,2013-09-30,2013-10-30,253900000,201687400000.0,9278400000.0,
PFG,2013-12-31,2014-02-12,241700000,208191400000.0,9684200000.0,
PFG,2014-03-31,2014-04-30,301900000,211193900000.0,9987900000.0,
PFG,2014-06-30,2014-07-30,314600000,218322300000.0,10401800000.0,
PFG,2014-09-30,2014-10-29,248900000,216422800000.0,10316400000.0,
PFG,2014-12-31,2015-02-11,278700000,219087000000.0,10184000000.0,
PFG,2015-03-31,2015-04-29,422400000,222494900000.0,10422600000.0,
PFG,2015-06-30,2015-07-29,257600000,222270700000.0,9693400000.0,
PFG,2015-09-30,2015-10-28,300400000,215365400000.0,9620300000.0,
PFG,2015-12-31,2016-02-10,253600000,218685900000.0,9311600000.0,
PFG,2016-03-31,2016-05-04,368000000,217570000000.0,10041600000.0,
PFG,2016-06-30,2016-08-03,322300000,223074200000.0,10499700000.0,
PFG,2016-09-30,2016-11-02,308200000,230367600000.0,10794600000.0,
PFG,2016-12-31,2017-02-08,318000000,228014300000.0,10227300000.0,
PFG,2017-03-31,2017-05-03,348900000,235496000000.0,10616100000.0,522900000.0
PFG,2017-06-30,2017-08-02,309500000,240153900000.0,11168100000.0,
PFG,2017-09-30,2017-11-01,810200000,247933600000.0,11996400000.0,
PFG,2017-12-31,2018-02-09,841800000,253941200000.0,12849300000.0,559300000.0
PFG,2018-03-31,2018-05-02,397100000,253636500000.0,12186900000.0,746500000.0
PFG,2018-06-30,2018-08-01,456600000,252104000000.0,11639300000.0,
PFG,2018-09-30,2018-10-31,456300000,258758300000.0,11700800000.0,
PFG,2018-12-31,2019-02-13,236500000,243036100000.0,11390000000.0,1442600000.0
PFG,2019-03-31,2019-05-02,429900000,259419900000.0,12694400000.0,1176400000.0
PFG,2019-06-30,2019-07-31,386300000,267918000000.0,14034700000.0,
PFG,2019-09-30,2019-10-30,277100000,270238400000.0,14804200000.0,
PFG,2019-12-31,2020-02-14,300900000,276087800000.0,14618000000.0,1028400000.0
PFG,2020-03-31,2020-04-29,288900000,246903900000.0,12907500000.0,1589100000.0
PFG,2020-06-30,2020-07-29,398300000,271309400000.0,15243100000.0,
PFG,2020-09-30,2020-10-29,236000000,278484800000.0,15650900000.0,
PFG,2020-12-31,2021-02-12,472600000,296627700000.0,16558900000.0,628200000.0
PFG,2021-03-31,2021-04-29,517100000,295634600000.0,15405500000.0,140800000.0
PFG,2021-06-30,2021-07-29,361800000,302165500000.0,16233100000.0,
PFG,2021-09-30,2021-10-28,359900000,298908400000.0,16070700000.0,
PFG,2021-12-31,2022-02-11,471800000,304657200000.0,16069400000.0,1111800000.0
PFG,2022-03-31,2022-05-04,376200000,291538500000.0,11897600000.0,31500000.0
PFG,2022-06-30,2022-08-09,3059400000,293220200000.0,11036800000.0,
PFG,2022-09-30,2022-11-02,1385500000,282580600000.0,9446200000.0,
PFG,2022-12-31,2023-02-16,-9500000,292239600000.0,10001700000.0,1163200000.0
PFG,2023-03-31,2023-05-03,-140100000,299408200000.0,10217900000.0,695300000.0
PFG,2023-06-30,2023-08-02,388800000,299186900000.0,10344500000.0,
PFG,2023-09-30,2023-11-01,1246200000,287948000000.0,10671600000.0,
PFG,2023-12-31,2024-02-20,-871700000,305046700000.0,10916000000.0,944000000.0
PFG,2024-03-31,2024-05-01,532500000,308683500000.0,11185500000.0,584200000.0
PFG,2024-06-30,2024-07-31,353100000,308777300000.0,11013400000.0,
PFG,2024-09-30,2024-10-30,-220000000,322857700000.0,11237400000.0,
PFG,2024-12-31,2025-02-19,905400000,313663600000.0,11086400000.0,1459000000.0
PFG,2025-03-31,2025-04-30,48100000,313003300000.0,11216800000.0,977300000.0
PFG,2025-06-30,2025-07-30,406200000,323103800000.0,11415300000.0,
PFG,2025-09-30,2025-10-29,213800000,334491800000.0,11665500000.0,
PFG,2025-12-31,2026-02-18,517000000,341376500000.0,11883900000.0,1743700000.0
