ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
PKG,2009-06-30,2010-08-04,108881000,,683949000,,,
PKG,2009-09-30,2010-11-03,72655000,,683949000,,,
PKG,2010-06-30,2010-08-04,38030000,2203519000.0,921153000,,,
PKG,2010-09-30,2010-11-03,93320000,2190032000.0,966312000,,,
PKG,2010-12-31,2011-02-22,54891000,2224274000.0,1009001000,138879000.0,89274000.0,49605000.0
PKG,2011-03-31,2011-05-10,37417000,2220947000.0,1020496000,63950000.0,64731000.0,-781000.0
PKG,2011-06-30,2011-08-04,39368000,2259181000.0,1021205000,,,
PKG,2011-09-30,2011-11-03,41777000,2232743000.0,973551000,,,
PKG,2011-12-31,2012-02-21,39465000,2412499000.0,928910000,108697000.0,65255000.0,43442000.0
PKG,2012-03-31,2012-05-08,17844000,2492359000.0,921944000,34945000.0,34813000.0,132000.0
PKG,2012-06-30,2012-08-07,45154000,2831491000.0,922720000,,,
PKG,2012-09-30,2012-11-06,39791000,2455150000.0,940096000,,,
PKG,2012-12-31,2013-02-28,61031000,2453768000.0,969461000,152394000.0,34128000.0,118266000.0
PKG,2013-03-31,2013-05-01,60613000,2515938000.0,1001819000,95767000.0,27276000.0,68491000.0
PKG,2013-06-30,2013-08-06,64465000,2614821000.0,1051286000,,,
PKG,2013-09-30,2013-11-08,84180000,2657109000.0,1099128000,,,
PKG,2013-12-31,2014-02-28,227025000,5199974000.0,1313015000,188033000.0,104012000.0,84021000.0
PKG,2014-03-31,2014-05-08,90086000,5263948000.0,1417583000,149299000.0,50933000.0,98366000.0
PKG,2014-06-30,2014-08-08,99557000,5304237000.0,1482619000,,,
PKG,2014-09-30,2014-11-07,104445000,5330749000.0,1552039000,,,
PKG,2014-12-31,2015-02-27,98512000,5348500000.0,1521400000,179380000.0,165335000.0,14045000.0
PKG,2015-03-31,2015-05-08,90800000,5385400000.0,1556300000,108300000.0,55600000.0,52700000.0
PKG,2015-06-30,2015-08-07,114000000,5409900000.0,1591000000,,,
PKG,2015-09-30,2015-11-06,127800000,5422200000.0,1615000000,,,
PKG,2015-12-31,2016-02-26,104200000,5284600000.0,1633300000,220600000.0,96600000.0,124000000.0
PKG,2016-03-31,2016-05-06,103700000,5227300000.0,1590800000,191000000.0,52900000.0,138100000.0
PKG,2016-06-30,2016-08-05,115900000,5296100000.0,1662300000,,,
PKG,2016-09-30,2016-11-04,119300000,5747200000.0,1729600000,,,
PKG,2016-12-31,2017-02-28,110700000,5777000000.0,1759800000,213000000.0,86200000.0,126800000.0
PKG,2017-03-31,2017-05-05,117400000,5843400000.0,1824700000,164100000.0,57800000.0,106300000.0
PKG,2017-06-30,2017-08-04,143200000,5903200000.0,1906600000,,,
PKG,2017-09-30,2017-11-03,139100000,6027200000.0,1994200000,,,
PKG,2017-12-31,2018-02-28,268900000,6197500000.0,2182600000,272800000.0,116800000.0,156000000.0
PKG,2018-03-31,2018-05-09,140100000,6139800000.0,2273800000,202500000.0,108000000.0,94500000.0
PKG,2018-06-30,2018-08-08,186600000,6315600000.0,2388000000,,,
PKG,2018-09-30,2018-11-07,206700000,6500000000.0,2530200000,,,
PKG,2018-12-31,2019-02-28,204600000,6569700000.0,2672400000,345600000.0,147100000.0,198500000.0
PKG,2019-03-31,2019-05-08,186800000,6928600000.0,2794600000,236000000.0,78800000.0,157200000.0
PKG,2019-06-30,2019-08-02,193600000,7074400000.0,2921200000,,,
PKG,2019-09-30,2019-11-01,179800000,7191100000.0,3034700000,,,
PKG,2019-12-31,2020-02-26,136200000,7235800000.0,3071000000,329200000.0,135700000.0,193500000.0
PKG,2020-03-31,2020-05-06,141700000,7347600000.0,3149900000,236700000.0,70500000.0,166200000.0
PKG,2020-06-30,2020-08-06,56700000,7272000000.0,3133100000,,,
PKG,2020-09-30,2020-11-05,139100000,7372600000.0,3205400000,,,
PKG,2020-12-31,2021-02-24,123600000,7433200000.0,3246300000,271100000.0,167700000.0,103400000.0
PKG,2021-03-31,2021-05-05,166500000,7549000000.0,3331200000,191600000.0,85100000.0,106500000.0
PKG,2021-06-30,2021-08-05,207300000,7673600000.0,3444300000,,,
PKG,2021-09-30,2021-11-04,250700000,8630800000.0,3608300000,,,
PKG,2021-12-31,2022-02-24,216500000,7836800000.0,3607200000,390700000.0,238900000.0,151800000.0
PKG,2022-03-31,2022-05-05,254200000,8137800000.0,3779300000,325300000.0,213200000.0,112100000.0
PKG,2022-06-30,2022-08-04,301500000,8340600000.0,3964500000,,,
PKG,2022-09-30,2022-11-03,262500000,8344400000.0,3971200000,,,
PKG,2022-12-31,2023-02-23,211600000,8003800000.0,3667100000,420100000.0,247100000.0,173000000.0
PKG,2023-03-31,2023-05-03,190100000,8049000000.0,3757700000,280400000.0,112400000.0,168000000.0
PKG,2023-06-30,2023-08-04,202700000,8106500000.0,3848600000,,,
PKG,2023-09-30,2023-11-03,183200000,8177600000.0,3887200000,,,
PKG,2023-12-31,2024-02-29,189200000,8681100000.0,3997300000,335300000.0,141100000.0,194200000.0
PKG,2024-03-31,2024-05-08,146900000,8857000000.0,4031000000,260400000.0,76700000.0,183700000.0
PKG,2024-06-30,2024-08-08,198900000,8982100000.0,4126600000,,,
PKG,2024-09-30,2024-11-07,238100000,8753800000.0,4263600000,,,
PKG,2024-12-31,2025-02-27,221100000,8833200000.0,4404000000,325400000.0,201300000.0,124100000.0
PKG,2025-03-31,2025-05-08,203800000,8969800000.0,4499200000,339100000.0,148100000.0,191000000.0
PKG,2025-06-30,2025-08-07,241500000,9041200000.0,4632100000,,,
PKG,2025-09-30,2025-11-06,226900000,10980000000.0,4755500000,,,
PKG,2025-12-31,2026-02-26,101800000,10725500000.0,4598000000,446600000.0,319000000.0,127600000.0
