ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
PPL,2009-09-30,2009-10-30,20000000.0,21944000000.0,5618000000.0,,,
PPL,2009-12-31,2010-02-26,153000000.0,22165000000.0,5496000000.0,605000000.0,404000000.0,201000000.0
PPL,2010-03-31,2010-05-06,250000000.0,24935000000.0,5892000000.0,798000000.0,283000000.0,515000000.0
PPL,2010-09-30,2010-10-29,248000000.0,26728000000.0,8324000000.0,,,
PPL,2011-03-31,2011-05-06,401000000.0,32741000000.0,8530000000.0,196000000.0,428000000.0,-232000000.0
PPL,2011-06-30,2011-08-08,196000000.0,40537000000.0,10651000000.0,,,
PPL,2011-09-30,2011-11-08,444000000.0,40956000000.0,10848000000.0,,,
PPL,2011-12-31,2012-02-28,454000000.0,42648000000.0,10828000000.0,661000000.0,802000000.0,-141000000.0
PPL,2012-03-31,2012-05-07,541000000.0,44082000000.0,11267000000.0,728000000.0,682000000.0,46000000.0
PPL,2012-06-30,2012-08-08,271000000.0,43508000000.0,10962000000.0,,,
PPL,2012-09-30,2012-11-08,355000000.0,43240000000.0,11214000000.0,,,
PPL,2012-12-31,2013-02-28,359000000.0,43634000000.0,10480000000.0,670000000.0,1027000000.0,-357000000.0
PPL,2013-03-31,2013-05-03,413000000.0,43341000000.0,10524000000.0,244000000.0,828000000.0,-584000000.0
PPL,2013-06-30,2013-08-02,405000000.0,43746000000.0,10936000000.0,,,
PPL,2013-09-30,2013-11-01,410000000.0,44988000000.0,12344000000.0,,,
PPL,2013-12-31,2014-02-24,-98000000.0,46259000000.0,12466000000.0,634000000.0,1444000000.0,-810000000.0
PPL,2014-03-31,2014-05-02,316000000.0,47973000000.0,12717000000.0,931000000.0,892000000.0,39000000.0
PPL,2014-06-30,2014-07-31,229000000.0,48193000000.0,13735000000.0,,,
PPL,2014-09-30,2014-11-07,497000000.0,48189000000.0,13974000000.0,,,
PPL,2014-12-31,2015-02-23,695000000.0,48864000000.0,13628000000.0,775000000.0,1212000000.0,-437000000.0
PPL,2015-03-31,2015-05-07,647000000.0,48921000000.0,14036000000.0,673000000.0,942000000.0,-269000000.0
PPL,2016-03-31,2017-05-04,481000000.0,38709000000.0,9762000000.0,557000000.0,656000000.0,-99000000.0
PPL,2016-06-30,2017-08-03,483000000.0,39528000000.0,10325000000.0,,,
PPL,2016-09-30,2017-11-01,473000000.0,38038000000.0,9975000000.0,,,
PPL,2017-03-31,2017-05-04,403000000.0,39034000000.0,10109000000.0,135000000.0,677000000.0,-542000000.0
PPL,2017-06-30,2017-08-03,292000000.0,39964000000.0,10490000000.0,,,
PPL,2017-09-30,2017-11-01,355000000.0,40758000000.0,10692000000.0,,,
PPL,2018-03-31,2018-05-03,452000000.0,42388000000.0,11176000000.0,566000000.0,750000000.0,-184000000.0
PPL,2018-06-30,2018-08-07,515000000.0,42830000000.0,11240000000.0,,,
PPL,2018-09-30,2018-11-01,445000000.0,43042000000.0,11783000000.0,,,
PPL,2018-12-31,2019-02-14,415000000.0,43396000000.0,11657000000.0,611000000.0,894000000.0,-283000000.0
PPL,2019-03-31,2019-05-02,466000000.0,44567000000.0,12172000000.0,474000000.0,729000000.0,-255000000.0
PPL,2019-06-30,2019-08-06,441000000.0,44204000000.0,11983000000.0,,,
PPL,2019-09-30,2019-11-05,475000000.0,44559000000.0,11902000000.0,,,
PPL,2019-12-31,2020-02-14,364000000.0,45680000000.0,12991000000.0,539000000.0,886000000.0,-347000000.0
PPL,2020-03-31,2020-05-08,554000000.0,46328000000.0,13241000000.0,692000000.0,826000000.0,-134000000.0
PPL,2020-06-30,2020-08-10,344000000.0,46520000000.0,13044000000.0,,,
PPL,2020-09-30,2020-11-05,281000000.0,47924000000.0,13686000000.0,,,
PPL,2020-12-31,2021-02-18,290000000.0,48116000000.0,13373000000.0,499000000.0,901000000.0,-402000000.0
PPL,2021-03-31,2021-05-06,-1840000000.0,47781000000.0,11554000000.0,663000000.0,471000000.0,192000000.0
PPL,2021-06-30,2021-08-05,19000000.0,36759000000.0,14952000000.0,,,
PPL,2021-09-30,2021-11-04,207000000.0,34171000000.0,14576000000.0,,,
PPL,2021-12-31,2022-02-18,134000000.0,33223000000.0,13723000000.0,292000000.0,513000000.0,-221000000.0
PPL,2022-03-31,2022-05-05,273000000.0,34107000000.0,13865000000.0,502000000.0,427000000.0,75000000.0
PPL,2022-06-30,2022-08-03,119000000.0,37062000000.0,13870000000.0,,,
PPL,2022-09-30,2022-11-04,174000000.0,37378000000.0,13881000000.0,,,
PPL,2022-12-31,2023-02-17,190000000.0,37837000000.0,13915000000.0,219000000.0,640000000.0,-421000000.0
PPL,2023-03-31,2023-05-04,285000000.0,38302000000.0,14033000000.0,430000000.0,499000000.0,-69000000.0
PPL,2023-06-30,2023-08-04,112000000.0,38296000000.0,13959000000.0,,,
PPL,2023-09-30,2023-11-02,230000000.0,38629000000.0,14012000000.0,,,
PPL,2023-12-31,2024-02-16,113000000.0,39236000000.0,13933000000.0,110000000.0,649000000.0,-539000000.0
PPL,2024-03-31,2024-05-01,307000000.0,39631000000.0,13933000000.0,282000000.0,596000000.0,-314000000.0
PPL,2024-06-30,2024-08-02,190000000.0,39839000000.0,13933000000.0,,,
PPL,2024-09-30,2024-11-01,214000000.0,40472000000.0,13933000000.0,,,
PPL,2024-12-31,2025-02-13,177000000.0,41069000000.0,13933000000.0,511000000.0,860000000.0,-349000000.0
PPL,2025-03-31,2025-04-30,414000000.0,41809000000.0,13933000000.0,513000000.0,793000000.0,-280000000.0
PPL,2025-06-30,2025-07-31,183000000.0,42363000000.0,13933000000.0,,,
PPL,2025-09-30,2025-11-05,318000000.0,43939000000.0,13933000000.0,,,
PPL,2025-12-31,2026-02-20,266000000.0,45244000000.0,13933000000.0,548000000.0,1162000000.0,-614000000.0
