ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
PSA,2009-09-30,2009-11-09,237309000,9809375000.0,8904106000.0,
PSA,2009-12-31,2010-03-01,181138000,9805645000.0,8928407000.0,275328000.0
PSA,2010-03-31,2010-05-10,123961000,9744471000.0,8676023000.0,233122000.0
PSA,2010-06-30,2010-08-09,125038000,9569513000.0,8598390000.0,
PSA,2010-09-30,2010-11-08,239354000,9651410000.0,8672076000.0,
PSA,2010-12-31,2011-03-01,183685000,9495333000.0,8676598000.0,271507000.0
PSA,2011-03-31,2011-05-09,206108000,9435521000.0,8717565000.0,264819000.0
PSA,2011-06-30,2011-08-08,206444000,9272336000.0,8553194000.0,
PSA,2011-09-30,2011-11-07,191139000,9085543000.0,8385762000.0,
PSA,2011-12-31,2012-02-27,220151000,8932562000.0,8288209000.0,294659000.0
PSA,2012-03-31,2012-05-07,205852000,9406312000.0,8321727000.0,279490000.0
PSA,2012-06-30,2012-08-06,198143000,9178947000.0,8137608000.0,
PSA,2012-09-30,2012-11-09,263892000,9288120000.0,8300626000.0,
PSA,2012-12-31,2013-02-26,271371000,8793403000.0,8093756000.0,329904000.0
PSA,2013-03-31,2013-05-10,211223000,9101551000.0,8725563000.0,309339000.0
PSA,2013-06-30,2013-08-05,260463000,9094598000.0,8736106000.0,
PSA,2013-09-30,2013-11-06,284198000,9149940000.0,8778944000.0,
PSA,2013-12-31,2014-02-26,296569000,9876266000.0,8791730000.0,390676000.0
PSA,2014-03-31,2014-05-05,227196000,9682582000.0,8973401000.0,330709000.0
PSA,2014-06-30,2014-08-05,276834000,9946457000.0,9285238000.0,
PSA,2014-09-30,2014-11-04,293459000,9624468000.0,9266430000.0,
PSA,2014-12-31,2015-02-25,346715000,9818676000.0,9480796000.0,
PSA,2015-03-31,2015-05-06,281781000,9772017000.0,9277895000.0,
PSA,2015-06-30,2015-08-05,326405000,9634758000.0,9279369000.0,
PSA,2015-09-30,2015-11-05,339568000,9654815000.0,9152118000.0,
PSA,2015-12-31,2016-02-29,363490000,9778232000.0,9170641000.0,
PSA,2016-03-31,2016-05-06,315873000,10064347000.0,9048766000.0,
PSA,2016-06-30,2016-08-05,356659000,9997137000.0,8737753000.0,
PSA,2016-09-30,2016-11-03,367305000,9865769000.0,9059656000.0,
PSA,2016-12-31,2017-03-01,413739000,10130338000.0,9411910000.0,
PSA,2017-03-31,2017-05-04,342442000,10083911000.0,9363514000.0,459083000.0
PSA,2017-06-30,2017-07-31,353702000,10365727000.0,9139087000.0,
PSA,2017-09-30,2017-11-01,356674000,10765694000.0,8936190000.0,
PSA,2017-12-31,2018-03-01,389399000,10732892000.0,8940009000.0,473160000.0
PSA,2018-03-31,2018-05-03,342997000,10685520000.0,8891003000.0,458519000.0
PSA,2018-06-30,2018-08-01,403802000,10692962000.0,8895806000.0,
PSA,2018-09-30,2018-10-30,378027000,10747940000.0,8895091000.0,
PSA,2018-12-31,2019-02-27,586205000,10928270000.0,9119478000.0,483167000.0
PSA,2019-03-31,2019-05-01,366521000,10875016000.0,9069821000.0,473584000.0
PSA,2019-06-30,2019-07-30,370056000,11113291000.0,8768934000.0,
PSA,2019-09-30,2019-10-30,397942000,11413861000.0,8774135000.0,
PSA,2019-12-31,2020-02-25,386015000,11365444000.0,9062911000.0,499989000.0
PSA,2020-03-31,2020-04-30,366156000,11825921000.0,9013078000.0,462950000.0
PSA,2020-06-30,2020-08-05,314923000,12358055000.0,8992691000.0,
PSA,2020-09-30,2020-11-04,324867000,11385148000.0,8434127000.0,
PSA,2020-12-31,2021-02-24,351267000,11816546000.0,8558867000.0,512562000.0
PSA,2021-03-31,2021-04-28,433036000,11981735000.0,8597947000.0,509162000.0
PSA,2021-06-30,2021-08-03,410426000,14490365000.0,8743584000.0,
PSA,2021-09-30,2021-11-01,490091000,15284686000.0,9017354000.0,
PSA,2021-12-31,2022-02-22,619710000,17380908000.0,9335177000.0,728835000.0
PSA,2022-03-31,2022-05-03,513943000,17698781000.0,9698712000.0,656241000.0
PSA,2022-06-30,2022-08-04,653850000,17862851000.0,9954726000.0,
PSA,2022-09-30,2022-11-01,2768994000,17450920000.0,10027172000.0,
PSA,2022-12-31,2023-02-21,412360000,17552307000.0,10073402000.0,736351000.0
PSA,2023-03-31,2023-05-03,517708000,17507778000.0,10045711000.0,696893000.0
PSA,2023-06-30,2023-08-02,578029000,17560326000.0,10065944000.0,
PSA,2023-09-30,2023-10-30,613298000,19875749000.0,10107659000.0,
PSA,2023-12-31,2024-02-20,439292000,19809216000.0,10013178000.0,791684000.0
PSA,2024-03-31,2024-04-30,508948000,19617385000.0,9948662000.0,665586000.0
PSA,2024-06-30,2024-07-30,518127000,19788762000.0,9707245000.0,
PSA,2024-09-30,2024-10-30,430329000,19803219000.0,9610063000.0,
PSA,2024-12-31,2025-02-24,614607000,19754934000.0,9712606000.0,768620000.0
PSA,2025-03-31,2025-04-30,407791000,19615446000.0,9566256000.0,705063000.0
PSA,2025-06-30,2025-07-30,358419000,20541453000.0,9372459000.0,
PSA,2025-09-30,2025-10-29,511063000,20114318000.0,9312123000.0,
PSA,2025-12-31,2026-02-12,507075000,20208604000.0,9248128000.0,733587000.0
