ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
REG,2018-09-30,2019-11-04,69722000.0,11135972000.0,,
REG,2019-06-30,2019-08-06,51728000.0,10947189000.0,6300841000.0,
REG,2019-09-30,2019-11-04,56965000.0,11172950000.0,6262739000.0,
REG,2019-12-31,2020-02-18,40291000.0,11132253000.0,6213348000.0,151915000.0
REG,2020-03-31,2020-05-08,-25332000.0,11568311000.0,6199422000.0,125678000.0
REG,2020-06-30,2020-08-04,19046000.0,11386309000.0,6121983000.0,
REG,2020-09-30,2020-11-06,12688000.0,10986639000.0,6039594000.0,
REG,2020-12-31,2021-02-17,38487000.0,10936904000.0,5984912000.0,124529000.0
REG,2021-03-31,2021-05-07,80656000.0,10625988000.0,5969631000.0,139362000.0
REG,2021-06-30,2021-08-06,95490000.0,10640166000.0,5967080000.0,
REG,2021-09-30,2021-11-05,117406000.0,10853903000.0,6070721000.0,
REG,2021-12-31,2022-02-17,67859000.0,10792563000.0,6037371000.0,150910000.0
REG,2022-03-31,2022-05-06,195228000.0,10840164000.0,6132327000.0,142892000.0
REG,2022-06-30,2022-08-05,104796000.0,10901815000.0,6125033000.0,
REG,2022-09-30,2022-11-04,87578000.0,10898837000.0,6115883000.0,
REG,2022-12-31,2023-02-17,95263000.0,10860220000.0,6096985000.0,127573000.0
REG,2023-03-31,2023-05-05,97281000.0,10805680000.0,6057321000.0,162099000.0
REG,2023-06-30,2023-08-04,86782000.0,10827945000.0,6040213000.0,
REG,2023-09-30,2023-11-06,90720000.0,12381414000.0,7060914000.0,
REG,2023-12-31,2024-02-16,89774000.0,12426913000.0,7032687000.0,171906000.0
REG,2024-03-31,2024-05-03,109774000.0,12650903000.0,7019711000.0,167758000.0
REG,2024-06-30,2024-08-02,102668000.0,12384180000.0,6795728000.0,
REG,2024-09-30,2024-11-01,101469000.0,12426579000.0,6767466000.0,
REG,2024-12-31,2025-02-14,86477000.0,12391961000.0,6724146000.0,191385000.0
REG,2025-03-31,2025-05-02,109587000.0,12560070000.0,6699578000.0,161031000.0
REG,2025-06-30,2025-08-04,106021000.0,12730474000.0,6677872000.0,
REG,2025-09-30,2025-11-05,109373000.0,13058979000.0,6797034000.0,
REG,2025-12-31,2026-02-13,202479000.0,13001283000.0,6906890000.0,203948000.0
