ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
RL,2010-07-03,2010-08-10,120800000,4499000000.0,2965800000,171400000.0
RL,2010-10-02,2010-11-10,205200000,4875000000.0,3172500000,
RL,2011-01-01,2011-02-09,168400000,5008600000.0,3413000000,
RL,2011-04-02,2011-05-26,73200000,4981100000.0,3304700000,94400000.0
RL,2011-07-02,2011-08-11,184100000,4960200000.0,3201700000,212400000.0
RL,2011-10-01,2011-11-09,233500000,5328400000.0,3383900000,
RL,2011-12-31,2012-02-08,169000000,5326500000.0,3529700000,
RL,2012-03-31,2012-05-24,94400000,5416400000.0,3652500000,101100000.0
RL,2012-06-30,2012-08-09,193400000,5194100000.0,3471800000,268700000.0
RL,2012-09-29,2012-11-02,213700000,5523500000.0,3736400000,
RL,2012-12-29,2013-02-06,215700000,5489200000.0,3769700000,
RL,2013-03-30,2013-05-23,127200000,5418200000.0,3784600000,121600000.0
RL,2013-06-29,2013-08-08,181000000,5460000000.0,3761000000,295000000.0
RL,2013-09-28,2013-11-06,205000000,6266000000.0,3991000000,
RL,2013-12-28,2014-02-05,237000000,6060000000.0,4034000000,
RL,2014-03-29,2014-05-15,153000000,6090000000.0,4034000000,147000000.0
RL,2014-06-28,2014-08-07,162000000,6130000000.0,3972000000,415000000.0
RL,2014-09-27,2014-10-30,201000000,6398000000.0,4029000000,
RL,2014-12-27,2015-02-04,215000000,6344000000.0,4075000000,
RL,2015-03-28,2015-05-15,124000000,6106000000.0,3891000000,4000000.0
RL,2015-06-27,2015-08-06,64000000,6068000000.0,3807000000,332000000.0
RL,2015-09-26,2015-11-05,160000000,6443000000.0,3811000000,
RL,2015-12-26,2016-02-04,131000000,6341000000.0,3804000000,
RL,2016-04-02,2016-05-19,41000000,6213000000.0,3744000000,155000000.0
RL,2016-07-02,2016-08-11,-22000000,6118000000.0,3566000000,243000000.0
RL,2016-10-01,2016-11-10,45000000,6067000000.0,3598000000,
RL,2016-12-31,2017-02-09,82000000,5966000000.0,3610000000,
RL,2017-04-01,2017-05-18,-204300000,5652000000.0,3299600000,102300000.0
RL,2017-07-01,2017-08-10,59500000,5814000000.0,3360100000,334200000.0
RL,2017-09-30,2017-11-09,143800000,6028300000.0,3509600000,
RL,2017-12-30,2018-02-08,-81800000,6199000000.0,3407500000,
RL,2018-03-31,2018-05-23,41300000,6143300000.0,3457400000,24000000.0
RL,2018-06-30,2018-08-03,109000000,6035300000.0,3421000000,230600000.0
RL,2018-09-29,2018-11-08,170300000,6155500000.0,3462000000,
RL,2018-12-29,2019-02-07,120000000,6092000000.0,3353900000,
RL,2019-03-30,2019-05-16,31600000,5942800000.0,3287200000,100700000.0
RL,2019-06-29,2019-08-01,117100000,7343700000.0,3012800000,197400000.0
RL,2019-09-28,2019-11-07,182100000,7228500000.0,2913600000,
RL,2019-12-28,2020-02-06,334100000,7445900000.0,3116500000,
RL,2020-03-28,2020-05-27,-249000000,7279900000.0,2693100000,6600000.0
RL,2020-06-27,2020-08-04,-127700000,7740400000.0,2555500000,-70300000.0
RL,2020-09-26,2020-11-05,-39100000,7751600000.0,2544100000,
RL,2020-12-26,2021-02-04,119800000,8172200000.0,2692000000,
RL,2021-03-27,2021-05-20,-74100000,7887500000.0,2604400000,46300000.0
RL,2021-06-26,2021-08-03,164700000,7961900000.0,2717700000,247600000.0
RL,2021-09-25,2021-11-03,193300000,8176700000.0,2862800000,
RL,2021-12-25,2022-02-03,217700000,8135600000.0,2722900000,
RL,2022-04-02,2022-05-24,24400000,7724700000.0,2536000000,-105800000.0
RL,2022-07-02,2022-08-09,123400000,6951100000.0,2364100000,45300000.0
RL,2022-10-01,2022-11-10,150500000,6733600000.0,2255600000,
RL,2022-12-31,2023-02-09,216500000,7039900000.0,2467800000,
RL,2023-04-01,2023-05-25,32300000,6789500000.0,2430500000,14000000.0
RL,2023-07-01,2023-08-10,132100000,6868400000.0,2441000000,270700000.0
RL,2023-09-30,2023-11-08,146900000,6723100000.0,2369200000,
RL,2023-12-30,2024-02-08,276600000,7004500000.0,2571900000,
RL,2024-03-30,2024-05-23,90700000,6602600000.0,2450300000,121000000.0
RL,2024-06-29,2024-08-07,168600000,6641000000.0,2367000000,277300000.0
RL,2024-09-28,2024-11-07,147900000,6800000000.0,2442300000,
RL,2024-12-28,2025-02-06,297400000,7080900000.0,2539200000,
RL,2025-03-29,2025-05-22,129000000,7047300000.0,2588500000,122200000.0
RL,2025-06-28,2025-08-07,220400000,7751700000.0,2515300000,176100000.0
RL,2025-09-27,2025-11-06,207500000,7347700000.0,2582200000,
RL,2025-12-27,2026-02-05,361600000,7813800000.0,2888400000,
