ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
SNPS,2010-01-31,2011-03-02,132786000.0,2938854000.0,1844166000.0,-45417000.0,8037000.0,-53454000.0
SNPS,2010-04-30,2011-05-27,39549000.0,2938854000.0,1844166000.0,,,
SNPS,2010-07-31,2010-09-08,39327000.0,3114649000.0,2049810000.0,,,
SNPS,2010-10-31,2010-12-17,25401000.0,3286541000.0,2100182000.0,96892000.0,11630000.0,85262000.0
SNPS,2011-01-31,2011-03-02,48226000.0,3213288000.0,2157873000.0,-39633000.0,10217000.0,-49850000.0
SNPS,2011-04-30,2011-05-27,81114000.0,3209469000.0,2147398000.0,,,
SNPS,2011-07-31,2011-09-02,52082000.0,3368638000.0,2121507000.0,,,
SNPS,2011-10-31,2011-12-16,39942000.0,3367334000.0,2101300000.0,73026000.0,14509000.0,58517000.0
SNPS,2012-01-31,2012-03-06,56694000.0,3299000000.0,2171805000.0,-39318000.0,11016000.0,-50334000.0
SNPS,2012-04-30,2012-06-04,20971000.0,3744482000.0,2289976000.0,,,
SNPS,2012-07-31,2012-08-31,75656000.0,3869271000.0,2391100000.0,,,
SNPS,2012-10-31,2012-12-20,28577000.0,4147656000.0,2501686000.0,102932000.0,21473000.0,81459000.0
SNPS,2013-01-31,2013-03-04,69922000.0,4020546000.0,2602159000.0,-91438000.0,13980000.0,-105418000.0
SNPS,2013-04-30,2013-05-31,68691000.0,4098888000.0,2698932000.0,,,
SNPS,2013-07-31,2013-08-30,52297000.0,4288472000.0,2736130000.0,,,
SNPS,2013-10-31,2013-12-20,56890000.0,4358935000.0,2788277000.0,191335000.0,17835000.0,173500000.0
SNPS,2015-04-30,2016-05-24,55596000.0,4756167000.0,3064998000.0,,,
SNPS,2015-07-31,2016-08-22,55387000.0,4953972000.0,3138248000.0,,,
SNPS,2015-10-31,2015-12-14,49762000.0,5045739000.0,3133989000.0,,19257000.0,
SNPS,2016-01-31,2017-02-17,60035000.0,4747523000.0,2990383000.0,,15337000.0,
SNPS,2016-04-30,2016-05-24,69376000.0,4965263000.0,3150005000.0,,,
SNPS,2016-07-31,2016-08-22,64718000.0,5108789000.0,3120746000.0,,,
SNPS,2016-10-31,2016-12-12,72697000.0,5240365000.0,3195146000.0,,18660000.0,
SNPS,2017-01-31,2017-02-17,86588000.0,5264254000.0,3324685000.0,,18178000.0,
SNPS,2017-04-30,2017-05-19,53306000.0,5466558000.0,3377495000.0,,,
SNPS,2017-07-31,2017-08-18,116751000.0,5678939000.0,3423168000.0,,,
SNPS,2017-10-31,2017-12-14,-120082000.0,5396414000.0,3275620000.0,,20101000.0,
SNPS,2018-01-31,2018-02-23,-3691000.0,5717549000.0,3136529000.0,,28316000.0,
SNPS,2018-04-30,2018-05-25,102472000.0,5699071000.0,3256293000.0,,,
SNPS,2018-07-31,2018-08-24,79409000.0,5795215000.0,3158139000.0,,,
SNPS,2018-10-31,2018-12-17,254328000.0,6145974000.0,3479152000.0,130918000.0,28507000.0,102411000.0
SNPS,2019-01-31,2019-02-25,153514000.0,6344486000.0,3778802000.0,-144019000.0,29007000.0,-173026000.0
SNPS,2019-04-30,2019-05-24,118210000.0,6194223000.0,3909572000.0,,,
SNPS,2019-07-31,2019-08-26,99929000.0,6153408000.0,3933806000.0,,,
SNPS,2019-10-31,2019-12-20,160714000.0,6405160000.0,4083013000.0,221249000.0,75771000.0,145478000.0
SNPS,2020-01-31,2020-02-21,104061000.0,7202903000.0,4148827000.0,9820000.0,54605000.0,-44785000.0
SNPS,2020-04-30,2020-05-22,109920000.0,7322466000.0,4275086000.0,,,
SNPS,2020-07-31,2020-08-21,252911000.0,7663250000.0,4595925000.0,,,
SNPS,2020-10-31,2020-12-15,197455000.0,8030062000.0,4907404000.0,202151000.0,34483000.0,167668000.0
SNPS,2021-01-31,2021-02-19,162345000.0,8012838000.0,4882252000.0,173958000.0,27779000.0,146179000.0
SNPS,2021-04-30,2021-05-21,195078000.0,8339565000.0,5088135000.0,,,
SNPS,2021-07-31,2021-08-20,198646000.0,8485906000.0,5151020000.0,,,
SNPS,2021-10-31,2021-12-13,201447000.0,8752260000.0,5295137000.0,370559000.0,26807000.0,343752000.0
SNPS,2022-01-31,2022-02-18,313687000.0,8901346000.0,5386773000.0,155744000.0,41751000.0,113993000.0
SNPS,2022-04-30,2022-05-20,294781000.0,9210381000.0,5564311000.0,,,
SNPS,2022-07-31,2022-08-19,222626000.0,9329547000.0,5604026000.0,,,
SNPS,2022-10-31,2022-12-12,153500000.0,9418087000.0,5515725000.0,393505000.0,33655000.0,359850000.0
SNPS,2023-01-31,2023-02-17,271536000.0,9565624000.0,5636754000.0,114751000.0,43500000.0,71251000.0
SNPS,2023-04-30,2023-05-19,272910000.0,9790732000.0,5831859000.0,,,
SNPS,2023-07-31,2023-08-18,336252000.0,9923231000.0,5958555000.0,,,
SNPS,2023-10-31,2023-12-12,349190000.0,10333131000.0,6147308000.0,326061000.0,53098000.0,272963000.0
SNPS,2024-01-31,2024-02-23,449112000.0,10558259000.0,6670984000.0,-87790000.0,40391000.0,-128181000.0
SNPS,2024-04-30,2024-05-24,292107000.0,11011837000.0,7153160000.0,,,
SNPS,2024-07-31,2024-08-23,408055000.0,11648684000.0,7709396000.0,,,
SNPS,2024-10-31,2024-12-19,1114106000.0,13073561000.0,8990702000.0,562818000.0,4389000.0,558429000.0
SNPS,2025-01-31,2025-02-26,295683000.0,13041089000.0,9304792000.0,-67455000.0,40715000.0,-108170000.0
SNPS,2025-04-30,2025-05-28,345332000.0,23756517000.0,9915718000.0,,,
SNPS,2025-07-31,2025-09-09,242509000.0,48230256000.0,27614531000.0,,,
SNPS,2025-10-31,2025-12-22,448696000.0,48224461000.0,28327602000.0,639738000.0,34546000.0,605192000.0
SNPS,2026-01-31,2026-02-25,64958000.0,47237928000.0,30548827000.0,856832000.0,35320000.0,821512000.0
