ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
SO,2020-06-30,2021-07-29,612000000.0,119731000000.0,27505000000.0,,,
SO,2020-09-30,2021-11-04,1251000000.0,123158000000.0,27505000000.0,,,
SO,2021-06-30,2021-07-29,372000000.0,125907000000.0,27972000000.0,,,
SO,2021-09-30,2021-11-04,1101000000.0,127861000000.0,27972000000.0,,,
SO,2022-06-30,2022-07-28,1107000000.0,130769000000.0,27874000000.0,,,
SO,2022-09-30,2022-10-27,1472000000.0,134005000000.0,27874000000.0,,,
SO,2024-06-30,2025-07-31,1203000000.0,141937000000.0,31444000000.0,,,
SO,2024-09-30,2025-10-30,1535000000.0,143956000000.0,31444000000.0,,,
SO,2025-06-30,2025-07-31,880000000.0,148853000000.0,33208000000.0,,,
SO,2025-09-30,2025-10-30,1711000000.0,153248000000.0,33208000000.0,,,
SO,2025-12-31,2026-02-19,416000000.0,155720000000.0,36016000000.0,2597000000.0,4285000000.0,-1688000000.0
