ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
SPGI,2009-03-31,2010-04-28,63004000,5849418000,1235206000,67131000.0,8025000.0,59106000.0
SPGI,2009-06-30,2009-07-29,164093000,6058016000,1393440000,,,
SPGI,2009-09-30,2009-10-28,336111000,6415467000,1677006000,,,
SPGI,2009-12-31,2010-02-24,167294000,6475250000,1847287000,424385000.0,35923000.0,388462000.0
SPGI,2010-03-31,2010-04-28,103286000,6289236000,1900796000,102824000.0,7623000.0,95201000.0
SPGI,2010-06-30,2010-07-23,191084000,6364026000,1842946000,,,
SPGI,2010-09-30,2010-10-29,379850000,6884288000,2130065000,,,
SPGI,2010-12-31,2011-02-23,153843000,7046561000,2210296000,404836000.0,,
SPGI,2011-03-31,2011-04-27,120000000,6789700000,2229200000,49300000.0,,
SPGI,2011-06-30,2011-07-28,211100000,6944000000,2255000000,,,
SPGI,2011-09-30,2011-10-21,365600000,7153700000,2208200000,,,
SPGI,2011-12-31,2012-02-07,214400000,6427000000,1508000000,306400000.0,,
SPGI,2012-03-31,2012-04-25,123000000,6352000000,1706000000,-25000000.0,,
SPGI,2012-06-30,2012-07-26,216000000,7310000000,1663000000,,,
SPGI,2012-09-30,2012-11-02,314000000,7943000000,1786000000,,,
SPGI,2012-12-31,2013-02-28,-215000000,7052000000,767000000,-100000000.0,,
SPGI,2013-03-31,2013-04-30,735000000,6270000000,1030000000,,,
SPGI,2013-06-30,2013-07-25,254000000,6160000000,1223000000,,,
SPGI,2013-09-30,2013-10-22,215000000,5848000000,977000000,,,
SPGI,2013-12-31,2014-02-07,172000000,6061000000,1301000000,,,
SPGI,2014-03-31,2014-04-29,248000000,6011000000,1363000000,,,
SPGI,2014-06-30,2014-07-29,292000000,6057000000,1442000000,,,
SPGI,2014-09-30,2014-10-29,190000000,6270000000,1541000000,,,
SPGI,2014-12-31,2015-02-13,-846000000,6771000000,488000000,,,
SPGI,2015-03-31,2015-04-28,303000000,5448000000,539000000,,,
SPGI,2015-06-30,2015-07-28,353000000,6013000000,763000000,,,
SPGI,2015-09-30,2015-11-04,252000000,8163000000,658000000,,,
SPGI,2015-12-31,2016-02-12,247000000,8183000000,194000000,,,
SPGI,2016-03-31,2016-04-26,294000000,8261000000,222000000,185000000.0,,
SPGI,2016-06-30,2016-07-28,383000000,8291000000,376000000,,,
SPGI,2016-09-30,2016-11-03,892000000,8676000000,462000000,,,
SPGI,2016-12-31,2017-02-09,537000000,8669000000,650000000,207000000.0,,
SPGI,2017-03-31,2017-04-26,399000000,8654000000,789000000,353000000.0,,
SPGI,2017-06-30,2017-07-27,421000000,8791000000,1019000000,,,
SPGI,2017-09-30,2017-10-26,414000000,8714000000,839000000,,,
SPGI,2017-12-31,2018-02-09,262000000,9425000000,711000000,813000000.0,,
SPGI,2018-03-31,2018-04-26,491000000,8497000000,7000000,360000000.0,,
SPGI,2018-06-30,2018-07-26,461000000,9217000000,583000000,,,
SPGI,2018-09-30,2018-10-26,495000000,9383000000,905000000,,,
SPGI,2018-12-31,2019-02-13,511000000,9458000000,628000000,663000000.0,,
SPGI,2019-03-31,2019-05-03,410000000,9720000000,327000000,293000000.0,,
SPGI,2019-06-30,2019-08-01,555000000,10185000000,512000000,,,
SPGI,2019-09-30,2019-10-30,617000000,10188000000,346000000,,,
SPGI,2019-12-31,2020-02-10,541000000,11348000000,479000000,1004000000.0,,
SPGI,2020-03-31,2020-04-28,639000000,10463000000,-250000000,680000000.0,,
SPGI,2020-06-30,2020-07-28,792000000,11105000000,210000000,,,
SPGI,2020-09-30,2020-10-28,455000000,11452000000,442000000,,,
SPGI,2020-12-31,2021-02-09,454000000,12537000000,509000000,1141000000.0,,
SPGI,2021-03-31,2021-04-29,755000000,12830000000,1032000000,768000000.0,,
SPGI,2021-06-30,2022-08-03,798000000,13398000000,1265000000,,,
SPGI,2021-09-30,2022-10-28,797000000,14111000000,1845000000,,,
SPGI,2021-12-31,2022-02-08,675000000,15026000000,2032000000,940000000.0,,
SPGI,2022-03-31,2022-05-04,1235000000,66092000000,39702000000,222000000.0,,
SPGI,2022-06-30,2022-08-03,972000000,64323000000,39433000000,,,
SPGI,2022-09-30,2022-10-28,608000000,61813000000,37167000000,,,
SPGI,2022-12-31,2023-02-10,433000000,61784000000,36388000000,1113000000.0,,
SPGI,2023-03-31,2023-04-27,795000000,62024000000,36275000000,594000000.0,,
SPGI,2023-06-30,2023-07-27,511000000,60695000000,35468000000,,,
SPGI,2023-09-30,2023-11-02,742000000,60561000000,35419000000,,,
SPGI,2023-12-31,2024-02-09,579000000,60589000000,34200000000,1334000000.0,,
SPGI,2024-03-31,2024-04-25,991000000,60477000000,34327000000,948000000.0,,
SPGI,2024-06-30,2024-07-30,1011000000,60956000000,34881000000,,,
SPGI,2024-09-30,2024-10-25,971000000,60368000000,33992000000,,,
SPGI,2025-03-31,2025-04-29,1090000000,59889000000,33371000000,953000000.0,,
SPGI,2025-06-30,2025-08-01,1072000000,60395000000,33390000000,,,
SPGI,2025-09-30,2025-10-30,1176000000,59749000000,33133000000,,,
SPGI,2025-12-31,2026-02-11,1134000000,61200000000,31127000000,1748000000.0,,
