ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
STT,2009-06-30,2009-08-10,-3182000000,153421000000.0,12103000000,,,
STT,2009-09-30,2009-11-06,327000000,163277000000.0,13440000000,,,
STT,2009-12-31,2010-02-22,498000000,157946000000.0,14491000000,389000000.0,154000000.0,235000000.0
STT,2010-03-31,2010-05-07,495000000,153971000000.0,15410000000,1755000000.0,25000000.0,1730000000.0
STT,2010-06-30,2010-08-06,432000000,162075000000.0,16059000000,,,
STT,2010-09-30,2010-11-05,546000000,172964000000.0,17569000000,,,
STT,2011-03-31,2011-05-09,471000000,171796000000.0,19180000000,-1348000000.0,89000000.0,-1437000000.0
STT,2011-06-30,2011-08-05,513000000,190455000000.0,19834000000,,,
STT,2011-09-30,2011-11-04,555000000,208795000000.0,19651000000,,,
STT,2012-03-31,2012-05-04,427000000,187956000000.0,20159000000,1315000000.0,85000000.0,1230000000.0
STT,2012-06-30,2012-08-03,490000000,200777000000.0,19897000000,,,
STT,2012-09-30,2012-11-02,674000000,204522000000.0,20749000000,,,
STT,2013-03-31,2013-05-03,464000000,218189000000.0,20869000000,113000000.0,119000000.0,-6000000.0
STT,2013-06-30,2013-08-06,579000000,227300000000.0,20081000000,,,
STT,2013-09-30,2013-11-06,540000000,217180000000.0,20430000000,,,
STT,2013-12-31,2014-02-21,553000000,243291000000.0,20378000000,-1399000000.0,129000000.0,-1528000000.0
STT,2014-03-31,2014-05-09,363000000,256663000000.0,21273000000,1947000000.0,110000000.0,1837000000.0
STT,2014-06-30,2014-08-08,622000000,282324000000.0,21700000000,,,
STT,2014-09-30,2014-11-10,560000000,274805000000.0,21156000000,,,
STT,2014-12-31,2015-02-20,492000000,274119000000.0,21473000000,403000000.0,129000000.0,274000000.0
STT,2015-03-31,2015-05-08,409000000,279476000000.0,20819000000,397000000.0,96000000.0,301000000.0
STT,2015-06-30,2015-08-07,422000000,294571000000.0,21500000000,,,
STT,2015-09-30,2015-11-06,585000000,247274000000.0,21500000000,,,
STT,2015-12-31,2016-02-19,564000000,245192000000.0,21103000000,3379000000.0,160000000.0,3219000000.0
STT,2016-03-31,2016-05-06,368000000,243685000000.0,21496000000,2852000000.0,168000000.0,2684000000.0
STT,2016-06-30,2016-08-05,619000000,255386000000.0,22073000000,,,
STT,2016-09-30,2016-11-03,563000000,256140000000.0,22150000000,,,
STT,2016-12-31,2017-02-17,593000000,242698000000.0,21219000000,14000000.0,136000000.0,-122000000.0
STT,2017-03-31,2017-05-04,502000000,236802000000.0,21294000000,3509000000.0,164000000.0,3345000000.0
STT,2017-06-30,2017-08-04,620000000,238274000000.0,22068000000,,,
STT,2017-09-30,2017-11-01,685000000,235986000000.0,22497000000,,,
STT,2017-12-31,2018-02-26,370000000,238425000000.0,22317000000,5076000000.0,152000000.0,4924000000.0
STT,2018-03-31,2018-05-03,661000000,250286000000.0,22399000000,4836000000.0,147000000.0,4689000000.0
STT,2018-06-30,2018-07-25,734000000,248308000000.0,22571000000,,,
STT,2018-09-30,2018-10-31,765000000,234007000000.0,24553000000,,,
STT,2018-12-31,2019-02-21,439000000,244626000000.0,24790000000,1633000000.0,173000000.0,1460000000.0
STT,2019-03-31,2019-05-01,508000000,228332000000.0,25038000000,-495000000.0,171000000.0,-666000000.0
STT,2019-06-30,2019-07-26,587000000,241540000000.0,25454000000,,,
STT,2019-09-30,2019-10-25,583000000,244606000000.0,25209000000,,,
STT,2019-12-31,2020-02-20,564000000,245610000000.0,24431000000,1053000000.0,161000000.0,892000000.0
STT,2020-03-31,2020-04-28,634000000,362527000000.0,23861000000,4039000000.0,114000000.0,3925000000.0
STT,2020-06-30,2020-07-27,694000000,280242000000.0,24873000000,,,
STT,2020-09-30,2020-10-23,555000000,272075000000.0,25558000000,,,
STT,2020-12-31,2021-02-19,537000000,314706000000.0,26200000000,3376000000.0,136000000.0,3240000000.0
STT,2021-03-31,2021-04-23,519000000,316885000000.0,25005000000,-3732000000.0,162000000.0,-3894000000.0
STT,2021-06-30,2021-07-23,763000000,326528000000.0,25167000000,,,
