ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
TER,2010-07-04,2010-08-12,122149000,1449325000.0,908756000,,,
TER,2010-10-03,2010-11-10,147340000,1791611000.0,1067336000,,,
TER,2010-12-31,2011-03-01,60141000,1810355000.0,1122188000,176782000.0,22085000.0,154697000.0
TER,2011-04-03,2011-05-13,94872000,1874698000.0,1227432000,19618000.0,22131000.0,-2513000.0
TER,2011-07-03,2011-08-12,89058000,1998295000.0,1333938000,,,
TER,2011-10-02,2011-11-14,54745000,1962677000.0,1369887000,,,
TER,2011-12-31,2012-02-29,135134000,2188639000.0,1505060000,59206000.0,19474000.0,39732000.0
TER,2012-04-01,2012-05-11,33564000,2238148000.0,1548693000,11169000.0,27074000.0,-15905000.0
TER,2012-07-01,2012-08-10,111387000,2434670000.0,1685430000,,,
TER,2012-09-30,2012-11-09,88641000,2463291000.0,1785243000,,,
TER,2012-12-31,2013-03-01,-16543000,2429345000.0,1778355000,42299000.0,27948000.0,14351000.0
TER,2013-03-31,2013-05-10,6589000,2389538000.0,1791265000,-36494000.0,22547000.0,-59041000.0
TER,2013-06-30,2013-08-09,66556000,2506170000.0,1866493000,,,
TER,2013-09-29,2013-11-08,69459000,2611648000.0,1951501000,,,
TER,2013-12-31,2014-02-28,22343000,2629824000.0,1985094000,43846000.0,23806000.0,20040000.0
TER,2014-03-30,2014-05-07,929000,2433449000.0,1989830000,,31197000.0,
TER,2014-06-29,2014-08-08,101205000,2630663000.0,2101473000,,,
TER,2014-09-28,2014-11-07,82949000,2695007000.0,2189908000,,,
TER,2014-12-31,2015-02-27,-103811000,2538520000.0,2078980000,,22630000.0,
TER,2015-04-05,2015-05-08,32787000,2512182000.0,2057222000,,21149000.0,
TER,2015-07-05,2015-08-14,102879000,2692807000.0,2074222000,,,
TER,2015-10-04,2015-11-13,71453000,2661884000.0,2045605000,,,
TER,2015-12-31,2016-02-29,-641000,2548674000.0,1965786000,,23151000.0,
TER,2016-04-03,2016-05-13,49986000,2548974000.0,1995901000,,20334000.0,
TER,2016-07-03,2016-08-12,-223546000,2407858000.0,1745579000,,,
TER,2016-10-02,2016-11-10,63794000,2365687000.0,1782144000,,,
TER,2016-12-31,2017-03-01,66346000,2762493000.0,1828659000,,19020000.0,
TER,2017-04-02,2017-05-12,85221000,2842280000.0,1919853000,,22066000.0,
TER,2017-07-02,2017-08-11,174976000,3030225000.0,2048648000,,,
TER,2017-10-01,2017-11-09,103420000,3089327000.0,2109897000,,,
TER,2017-12-31,2018-03-01,-105924000,3109545000.0,1953646000,147473000.0,32128000.0,115345000.0
TER,2018-04-01,2018-05-11,86974000,2995193000.0,1904983000,-81930000.0,34797000.0,-116727000.0
TER,2018-07-01,2018-08-10,101037000,2931720000.0,1739940000,,,
TER,2018-09-30,2018-11-09,119981000,2882487000.0,1667760000,,,
TER,2018-12-31,2019-03-01,143788000,2706606000.0,1522354000,186376000.0,26110000.0,160266000.0
TER,2019-03-31,2019-05-10,109138000,2616643000.0,1470228000,18016000.0,25711000.0,-7695000.0
TER,2019-06-30,2019-08-09,97397000,2671514000.0,1479412000,,,
TER,2019-09-29,2019-11-08,135860000,2698791000.0,1482635000,,,
TER,2019-12-31,2020-03-02,125073000,2787014000.0,1480158000,216328000.0,38594000.0,177734000.0
TER,2020-03-29,2020-05-04,176191000,2820388000.0,1550673000,43102000.0,36700000.0,6402000.0
TER,2020-06-28,2020-08-03,188908000,3249189000.0,1744551000,,,
TER,2020-09-27,2020-11-02,222718000,3436512000.0,1993544000,,,
TER,2020-12-31,2021-02-22,196332000,3652346000.0,2207018000,260424000.0,38105000.0,222319000.0
TER,2021-04-04,2021-05-07,205512000,3719717000.0,2324553000,38139000.0,39250000.0,-1111000.0
TER,2021-07-04,2021-08-06,328319000,4000922000.0,2493256000,,,
TER,2021-10-03,2021-11-05,256718000,3762182000.0,2537493000,,,
TER,2021-12-31,2022-02-23,224040000,3809425000.0,2562444000,331283000.0,29310000.0,301973000.0
TER,2022-04-03,2022-05-06,161928000,3609154000.0,2474532000,7462000.0,43999000.0,-36537000.0
TER,2022-07-03,2022-08-05,197787000,3488426000.0,2298596000,,,
TER,2022-10-02,2022-11-04,183485000,3319906000.0,2254125000,,,
TER,2022-12-31,2023-02-22,172301000,3501252000.0,2451294000,183402000.0,34577000.0,148825000.0
TER,2023-04-02,2023-05-05,83531000,3383407000.0,2449462000,19336000.0,41444000.0,-22108000.0
TER,2023-07-02,2023-08-04,120050000,3394896000.0,2434883000,,,
TER,2023-10-01,2023-11-03,128116000,3370655000.0,2441300000,,,
TER,2023-12-31,2024-02-22,117054000,3486824000.0,2525897000,248780000.0,44336000.0,204444000.0
TER,2024-03-31,2024-05-03,64197000,3410720000.0,2557829000,7279000.0,44023000.0,-36744000.0
TER,2024-06-30,2024-08-02,186273000,3631706000.0,2730812000,,,
TER,2024-09-29,2024-11-01,145649000,3769728000.0,2902542000,,,
TER,2024-12-31,2025-02-20,146253000,3708714000.0,2819294000,282557000.0,57385000.0,225172000.0
TER,2025-03-30,2025-05-02,98896000,3705837000.0,2797499000,161637000.0,64021000.0,97616000.0
TER,2025-06-29,2025-08-01,78372000,3761862000.0,2837301000,,,
TER,2025-09-28,2025-10-30,119558000,3963731000.0,2717275000,,,
TER,2025-12-31,2026-02-19,257220000,4183599000.0,2795752000,281639000.0,62888000.0,218751000.0
