ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
TXT,2009-04-04,2010-04-30,86000000,,2366000000,-169000000.0
TXT,2010-04-03,2010-04-30,-8000000,18110000000.0,2841000000,-88000000.0
TXT,2010-07-03,2011-07-29,82000000,18110000000.0,2841000000,
TXT,2010-10-02,2011-10-28,-48000000,18110000000.0,2841000000,
TXT,2011-01-01,2011-03-01,60000000,15282000000.0,2972000000,225000000.0
TXT,2011-04-02,2011-04-28,29000000,15059000000.0,3052000000,54000000.0
TXT,2011-07-02,2011-07-29,90000000,14839000000.0,3174000000,
TXT,2011-10-01,2011-10-28,142000000,15281000000.0,3312000000,
TXT,2011-12-31,2012-02-23,-19000000,13615000000.0,2745000000,403000000.0
TXT,2012-03-31,2012-04-26,118000000,13280000000.0,2915000000,-254000000.0
TXT,2012-06-30,2012-07-26,172000000,13068000000.0,3102000000,
TXT,2012-09-29,2012-10-25,151000000,13065000000.0,3308000000,
TXT,2012-12-29,2013-02-15,148000000,13033000000.0,2991000000,530000000.0
TXT,2013-03-30,2013-04-25,119000000,12557000000.0,3148000000,-399000000.0
TXT,2013-06-29,2013-07-24,113000000,12440000000.0,3380000000,
TXT,2013-09-28,2013-10-24,99000000,12457000000.0,3580000000,
TXT,2013-12-28,2014-02-14,167000000,12944000000.0,4384000000,918000000.0
TXT,2014-03-29,2014-05-01,85000000,14963000000.0,4363000000,-27000000.0
TXT,2014-06-28,2014-07-23,144000000,15135000000.0,4578000000,
TXT,2014-09-27,2014-10-24,159000000,14739000000.0,4572000000,
TXT,2015-01-03,2015-02-25,212000000,14605000000.0,4272000000,642000000.0
TXT,2015-04-04,2015-04-29,128000000,14738000000.0,4390000000,-21000000.0
TXT,2015-07-04,2015-07-29,167000000,14948000000.0,4602000000,
TXT,2015-10-03,2015-10-28,176000000,14898000000.0,4696000000,
TXT,2016-01-02,2016-02-24,226000000,14708000000.0,4964000000,675000000.0
TXT,2016-04-02,2016-04-28,150000000,15099000000.0,4989000000,-150000000.0
TXT,2016-07-02,2016-07-28,177000000,15034000000.0,5186000000,
TXT,2016-10-01,2016-10-27,421000000,15167000000.0,5651000000,
TXT,2016-12-31,2017-02-22,214000000,15358000000.0,5574000000,869000000.0
TXT,2017-04-01,2017-04-26,101000000,15703000000.0,5582000000,-194000000.0
TXT,2017-07-01,2017-07-27,153000000,15775000000.0,5682000000,
TXT,2017-09-30,2017-10-27,159000000,15875000000.0,5818000000,
TXT,2017-12-30,2018-02-15,-106000000,15340000000.0,5647000000,592000000.0
TXT,2018-03-31,2018-04-25,189000000,14968000000.0,5692000000,-85000000.0
TXT,2018-06-30,2018-07-26,224000000,14558000000.0,5362000000,
TXT,2018-09-29,2018-10-25,563000000,14669000000.0,5543000000,
TXT,2018-12-29,2019-02-14,246000000,14264000000.0,5192000000,411000000.0
TXT,2019-03-30,2019-04-24,179000000,14480000000.0,5233000000,-216000000.0
TXT,2019-06-29,2019-07-24,217000000,14796000000.0,5336000000,
TXT,2019-09-28,2019-10-23,220000000,15062000000.0,5452000000,
TXT,2020-01-04,2020-02-25,199000000,15018000000.0,5518000000,791000000.0
TXT,2020-04-04,2020-05-01,50000000,15946000000.0,5534000000,-395000000.0
TXT,2020-07-04,2020-07-31,-92000000,15471000000.0,5527000000,
TXT,2020-10-03,2020-10-29,115000000,15861000000.0,5741000000,
TXT,2021-01-02,2021-02-19,236000000,15443000000.0,5845000000,569000000.0
TXT,2021-04-03,2021-04-29,171000000,15414000000.0,5996000000,181000000.0
TXT,2021-07-03,2021-07-29,183000000,15379000000.0,6101000000,
TXT,2021-10-02,2021-10-28,185000000,15269000000.0,6037000000,
TXT,2022-01-01,2022-02-17,207000000,15827000000.0,6815000000,425000000.0
TXT,2022-04-02,2022-04-28,193000000,15911000000.0,6917000000,241000000.0
TXT,2022-07-02,2022-07-28,217000000,15879000000.0,6801000000,
TXT,2022-10-01,2022-10-27,225000000,15956000000.0,6762000000,
TXT,2022-12-31,2023-02-16,226000000,16293000000.0,7113000000,527000000.0
TXT,2023-04-01,2023-04-27,191000000,16393000000.0,7008000000,163000000.0
TXT,2023-07-01,2023-07-27,263000000,16485000000.0,7034000000,
TXT,2023-09-30,2023-10-26,269000000,16492000000.0,7067000000,
TXT,2023-12-30,2024-02-12,198000000,16856000000.0,6987000000,549000000.0
TXT,2024-03-30,2024-04-25,201000000,16414000000.0,6931000000,-7000000.0
TXT,2024-06-29,2024-07-30,259000000,16427000000.0,6852000000,
TXT,2024-09-28,2024-10-24,223000000,16452000000.0,6951000000,
TXT,2024-12-28,2025-02-06,141000000,16838000000.0,7204000000,446000000.0
TXT,2025-03-29,2025-04-24,207000000,16942000000.0,7275000000,-124000000.0
TXT,2025-06-28,2025-07-24,245000000,17076000000.0,7433000000,
TXT,2025-09-27,2025-10-23,234000000,17381000000.0,7493000000,
TXT,2026-01-03,2026-02-11,235000000,18129000000.0,7875000000,700000000.0
