ticker,period_end,available_date,net_income,total_assets,equity,operating_cf
UAL,2009-06-30,2010-07-20,28000000,,-2321000000,
UAL,2009-09-30,2010-10-21,-57000000,,-2321000000,
UAL,2010-03-31,2011-04-21,-82000000,18684000000.0,-2811000000,482000000.0
UAL,2010-06-30,2010-07-20,273000000,20134000000.0,-2756000000,
UAL,2010-09-30,2010-10-21,387000000,20055000000.0,-2206000000,
UAL,2010-12-31,2011-02-22,-325000000,39598000000.0,1727000000,106000000.0
UAL,2011-03-31,2011-04-21,-213000000,40552000000.0,1912000000,1005000000.0
UAL,2011-06-30,2011-07-26,538000000,39694000000.0,1942000000,
UAL,2011-09-30,2011-10-27,653000000,39054000000.0,2312000000,
UAL,2011-12-31,2012-02-22,-138000000,37988000000.0,1806000000,265000000.0
UAL,2012-03-31,2012-04-27,-448000000,38199000000.0,1510000000,124000000.0
UAL,2012-06-30,2012-07-26,339000000,38694000000.0,1635000000,
UAL,2012-09-30,2012-10-25,6000000,37905000000.0,1827000000,
UAL,2012-12-31,2013-02-25,-620000000,37628000000.0,481000000,90000000.0
UAL,2013-03-31,2013-04-25,-417000000,36842000000.0,94000000,393000000.0
UAL,2013-06-30,2013-07-25,469000000,37468000000.0,1217000000,
UAL,2013-09-30,2013-10-24,379000000,37260000000.0,1728000000,
UAL,2013-12-31,2014-02-20,140000000,36812000000.0,2984000000,-334000000.0
UAL,2014-03-31,2014-04-24,-609000000,37185000000.0,2579000000,694000000.0
UAL,2014-06-30,2014-07-24,789000000,38447000000.0,3347000000,
UAL,2014-09-30,2014-10-23,924000000,38011000000.0,3864000000,
UAL,2014-12-31,2015-02-20,28000000,37353000000.0,2396000000,
UAL,2015-03-31,2015-04-23,508000000,39091000000.0,3008000000,
UAL,2015-06-30,2015-07-23,1193000000,39367000000.0,4122000000,
UAL,2015-09-30,2015-10-22,4816000000,41869000000.0,8555000000,
UAL,2015-12-31,2016-02-18,823000000,40861000000.0,8966000000,
UAL,2016-03-31,2016-04-21,313000000,40373000000.0,7840000000,
UAL,2016-06-30,2016-07-19,588000000,40476000000.0,7784000000,
UAL,2016-09-30,2016-10-17,965000000,40327000000.0,8439000000,
UAL,2016-12-31,2017-02-23,397000000,40140000000.0,8659000000,
UAL,2017-03-31,2017-04-18,96000000,41445000000.0,8449000000,
UAL,2017-06-30,2017-07-19,818000000,42307000000.0,8854000000,
UAL,2017-09-30,2017-10-19,637000000,42565000000.0,8970000000,
UAL,2017-12-31,2018-02-22,580000000,42326000000.0,8806000000,789000000.0
UAL,2018-03-31,2018-04-18,147000000,44018000000.0,8336000000,1709000000.0
UAL,2018-06-30,2018-07-18,684000000,44691000000.0,8639000000,
UAL,2018-09-30,2018-10-17,836000000,44837000000.0,9469000000,
UAL,2018-12-31,2019-02-28,462000000,44792000000.0,9995000000,1084000000.0
UAL,2019-03-31,2019-04-17,292000000,50639000000.0,9802000000,1915000000.0
UAL,2019-06-30,2019-07-17,1052000000,52150000000.0,10320000000,
UAL,2019-09-30,2019-10-16,1024000000,52199000000.0,11301000000,
UAL,2019-12-31,2020-02-25,641000000,52611000000.0,11531000000,1181000000.0
UAL,2020-03-31,2020-05-04,-1704000000,53055000000.0,9418000000,63000000.0
UAL,2020-06-30,2020-07-22,-1627000000,54901000000.0,8517000000,
UAL,2020-09-30,2020-10-15,-1841000000,61189000000.0,7003000000,
UAL,2020-12-31,2021-03-01,-1897000000,59548000000.0,5960000000,-2177000000.0
UAL,2021-03-31,2021-04-22,-1357000000,61662000000.0,5206000000,447000000.0
UAL,2021-06-30,2021-07-22,-434000000,71049000000.0,4904000000,
UAL,2021-09-30,2021-10-20,473000000,69294000000.0,5431000000,
UAL,2021-12-31,2022-02-18,-646000000,68175000000.0,5029000000,-269000000.0
UAL,2022-03-31,2022-04-21,-1377000000,69038000000.0,3624000000,1476000000.0
UAL,2022-06-30,2022-07-21,329000000,70381000000.0,3964000000,
UAL,2022-09-30,2022-10-19,942000000,68968000000.0,4898000000,
UAL,2022-12-31,2023-02-16,843000000,67358000000.0,6896000000,1158000000.0
UAL,2023-03-31,2023-04-20,-194000000,70417000000.0,6668000000,3142000000.0
UAL,2023-06-30,2023-07-20,1075000000,73341000000.0,7705000000,
UAL,2023-09-30,2023-10-18,1137000000,73153000000.0,8853000000,
UAL,2023-12-31,2024-02-29,600000000,71104000000.0,9324000000,-910000000.0
UAL,2024-03-31,2024-04-17,-124000000,71902000000.0,9188000000,2847000000.0
UAL,2024-06-30,2024-07-18,1323000000,73254000000.0,10526000000,
UAL,2024-09-30,2024-10-16,965000000,72640000000.0,11437000000,
UAL,2024-12-31,2025-02-27,985000000,74083000000.0,12675000000,2224000000.0
UAL,2025-03-31,2025-04-16,387000000,76111000000.0,12616000000,3710000000.0
UAL,2025-06-30,2025-07-17,973000000,77163000000.0,13373000000,
UAL,2025-09-30,2025-10-16,949000000,76313000000.0,14309000000,
UAL,2025-12-31,2026-02-12,1044000000,76448000000.0,15282000000,1286000000.0
UAL,2026-03-31,2026-04-22,699000000,80941000000.0,15876000000,4799000000.0
