ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
UNP,2009-03-31,2010-04-23,362000000,39722000000.0,15447000000.0,718000000.0,521000000.0,197000000.0
UNP,2009-06-30,2009-07-24,468000000,41550000000.0,16019000000.0,,,
UNP,2009-09-30,2009-10-22,517000000,41689000000.0,16429000000.0,,,
UNP,2009-12-31,2010-02-05,551000000,42410000000.0,16941000000.0,1012000000.0,553000000.0,459000000.0
UNP,2010-03-31,2010-04-23,516000000,42712000000.0,17213000000.0,656000000.0,461000000.0,195000000.0
UNP,2010-06-30,2010-07-23,711000000,42535000000.0,17323000000.0,,,
UNP,2010-09-30,2010-10-22,778000000,43001000000.0,17436000000.0,,,
UNP,2010-12-31,2011-02-04,775000000,43088000000.0,17763000000.0,1385000000.0,796000000.0,589000000.0
UNP,2011-03-31,2011-04-21,639000000,43587000000.0,18046000000.0,1294000000.0,602000000.0,692000000.0
UNP,2011-06-30,2011-07-22,785000000,44029000000.0,18306000000.0,,,
UNP,2011-09-30,2011-10-21,904000000,45066000000.0,18565000000.0,,,
UNP,2011-12-31,2012-02-03,964000000,45096000000.0,18578000000.0,1539000000.0,958000000.0,581000000.0
UNP,2012-03-31,2012-04-19,863000000,45336000000.0,18755000000.0,1404000000.0,804000000.0,600000000.0
UNP,2012-06-30,2012-07-20,1002000000,46374000000.0,19087000000.0,,,
UNP,2012-09-30,2012-10-18,1042000000,47070000000.0,19549000000.0,,,
UNP,2012-12-31,2013-02-08,1036000000,47153000000.0,19877000000.0,1795000000.0,862000000.0,933000000.0
UNP,2013-03-31,2013-04-18,957000000,48561000000.0,20144000000.0,1524000000.0,782000000.0,742000000.0
UNP,2013-06-30,2013-07-19,1106000000,49026000000.0,20524000000.0,,,
UNP,2013-09-30,2013-10-17,1151000000,48958000000.0,20774000000.0,,,
UNP,2013-12-31,2014-02-07,1174000000,49731000000.0,21225000000.0,,861000000.0,
UNP,2014-03-31,2014-04-17,1088000000,50898000000.0,21272000000.0,,893000000.0,
UNP,2014-06-30,2014-07-25,1291000000,51562000000.0,21440000000.0,,,
UNP,2014-09-30,2014-10-23,1370000000,52568000000.0,21553000000.0,,,
UNP,2014-12-31,2015-02-06,1431000000,52716000000.0,21189000000.0,,1120000000.0,
UNP,2015-03-31,2015-04-23,1151000000,53145000000.0,21057000000.0,,1101000000.0,
UNP,2015-06-30,2015-07-24,1204000000,54177000000.0,20990000000.0,,,
UNP,2015-09-30,2015-10-22,1300000000,53763000000.0,20599000000.0,,,
UNP,2015-12-31,2016-02-05,1117000000,54600000000.0,20702000000.0,,1327000000.0,
UNP,2016-03-31,2016-04-21,979000000,55772000000.0,20475000000.0,,687000000.0,
UNP,2016-06-30,2016-07-21,979000000,55690000000.0,20422000000.0,,,
UNP,2016-09-30,2016-10-20,1131000000,56305000000.0,20284000000.0,,,
UNP,2016-12-31,2017-02-03,1144000000,55718000000.0,19932000000.0,,901000000.0,
UNP,2017-03-31,2017-04-27,1072000000,55900000000.0,19723000000.0,,811000000.0,
UNP,2017-06-30,2017-07-20,1168000000,56478000000.0,19615000000.0,,,
UNP,2017-09-30,2017-10-26,1194000000,57397000000.0,19151000000.0,,,
UNP,2017-12-31,2018-02-09,7278000000,57806000000.0,24856000000.0,,859000000.0,
UNP,2018-03-31,2018-04-26,1310000000,57789000000.0,24389000000.0,,910000000.0,
UNP,2018-06-30,2018-07-19,1509000000,58689000000.0,19909000000.0,,,
UNP,2018-09-30,2018-10-25,1593000000,59312000000.0,20645000000.0,,,
UNP,2018-12-31,2019-02-08,1554000000,59147000000.0,20423000000.0,2312000000.0,1009000000.0,1303000000.0
UNP,2019-03-31,2019-04-18,1391000000,61319000000.0,17742000000.0,1959000000.0,752000000.0,1207000000.0
UNP,2019-06-30,2019-07-18,1570000000,61708000000.0,18171000000.0,,,
UNP,2019-09-30,2019-10-17,1555000000,61978000000.0,18016000000.0,,,
UNP,2019-12-31,2020-02-07,1403000000,61673000000.0,18128000000.0,2345000000.0,958000000.0,1387000000.0
UNP,2020-03-31,2020-04-23,1474000000,62216000000.0,15991000000.0,2155000000.0,807000000.0,1348000000.0
UNP,2020-06-30,2020-07-23,1132000000,63555000000.0,16452000000.0,,,
UNP,2020-09-30,2020-10-22,1363000000,63714000000.0,17199000000.0,,,
UNP,2020-12-31,2021-02-05,1380000000,62398000000.0,16958000000.0,2547000000.0,633000000.0,1914000000.0
UNP,2021-03-31,2021-04-22,1341000000,61793000000.0,16254000000.0,1958000000.0,536000000.0,1422000000.0
UNP,2021-06-30,2021-07-22,1798000000,62073000000.0,14303000000.0,,,
UNP,2021-09-30,2021-10-21,1673000000,62360000000.0,13917000000.0,,,
UNP,2021-12-31,2022-02-04,1711000000,63525000000.0,14161000000.0,2529000000.0,991000000.0,1538000000.0
UNP,2022-03-31,2022-04-21,1630000000,64051000000.0,11897000000.0,2236000000.0,848000000.0,1388000000.0
UNP,2022-06-30,2022-07-21,1835000000,64440000000.0,12710000000.0,,,
UNP,2022-09-30,2022-10-20,1895000000,65343000000.0,11743000000.0,,,
UNP,2022-12-31,2023-02-10,1638000000,65449000000.0,12163000000.0,2292000000.0,930000000.0,1362000000.0
UNP,2023-03-31,2023-04-20,1630000000,65968000000.0,12454000000.0,1840000000.0,772000000.0,1068000000.0
UNP,2023-06-30,2023-07-26,1569000000,66033000000.0,13194000000.0,,,
UNP,2023-09-30,2023-10-19,1528000000,66540000000.0,14004000000.0,,,
UNP,2023-12-31,2024-02-09,1652000000,67132000000.0,14788000000.0,2395000000.0,1024000000.0,1371000000.0
UNP,2024-03-31,2024-04-25,1641000000,67266000000.0,15665000000.0,2122000000.0,797000000.0,1325000000.0
UNP,2024-06-30,2024-07-25,1673000000,67817000000.0,16489000000.0,,,
UNP,2024-09-30,2024-10-24,1671000000,67570000000.0,16584000000.0,,,
UNP,2024-12-31,2025-02-07,1762000000,67715000000.0,16890000000.0,2662000000.0,922000000.0,1740000000.0
UNP,2025-03-31,2025-04-24,1626000000,68492000000.0,16039000000.0,2210000000.0,906000000.0,1304000000.0
UNP,2025-06-30,2025-07-24,1876000000,68576000000.0,16258000000.0,,,
UNP,2025-09-30,2025-10-23,1788000000,68647000000.0,17304000000.0,,,
UNP,2025-12-31,2026-02-06,1848000000,69698000000.0,18467000000.0,2225000000.0,999000000.0,1226000000.0
UNP,2026-03-31,2026-04-23,1701000000,69644000000.0,19418000000.0,2440000000.0,937000000.0,1503000000.0
