ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
WSM,2010-08-01,2010-09-10,30759000,1995493000,1206657000,,13458000.0,
WSM,2010-10-31,2010-12-10,36530000,2035172000,1199288000,,15533000.0,
WSM,2011-01-30,2011-03-31,113400000,2131762000,1258863000,313536000.0,15484000.0,298052000.0
WSM,2011-05-01,2011-06-10,31615000,1996751000,1250712000,-91303000.0,22236000.0,-113539000.0
WSM,2011-07-31,2011-09-09,39309000,2010124000,1250187000,,40289000.0,
WSM,2011-10-30,2011-12-09,43421000,2051164000,1247784000,,39730000.0,
WSM,2012-01-29,2012-03-29,122586000,2060838000,1255262000,293217000.0,28098000.0,265119000.0
WSM,2012-04-29,2012-06-08,30716000,1969566000,1216234000,-20737000.0,27819000.0,-48556000.0
WSM,2012-07-29,2012-09-07,43380000,1989884000,1210467000,,41789000.0,
WSM,2012-10-28,2012-12-07,48900000,2023422000,1217857000,,46790000.0,
WSM,2013-02-03,2013-04-04,133734000,2187679000,1309138000,301744000.0,89006000.0,212738000.0
WSM,2013-05-05,2013-06-14,39466000,2063219000,1282218000,-59822000.0,47444000.0,-107266000.0
WSM,2013-08-04,2013-09-12,48919000,2124178000,1219375000,,50333000.0,
WSM,2013-11-03,2013-12-12,56719000,2226442000,1170045000,,47459000.0,
WSM,2014-02-02,2014-04-03,133798000,2336734000,1256002000,305094000.0,48717000.0,256377000.0
WSM,2014-05-04,2014-06-12,46162000,2168100000,1208292000,-70329000.0,38119000.0,-108448000.0
WSM,2014-08-03,2014-09-12,50747000,2163548000,1178409000,,45400000.0,
WSM,2014-11-02,2014-12-05,64908000,2303947000,1136375000,,48151000.0,
WSM,2015-02-01,2015-04-02,147037000,2330277000,1224706000,,73130000.0,
WSM,2015-05-03,2015-06-12,44790000,2251089000,1186632000,,40384000.0,
WSM,2015-08-02,2015-09-11,53668000,2395971000,1141376000,,46465000.0,
WSM,2015-11-01,2015-12-11,70482000,2435676000,1116533000,,49220000.0,
WSM,2016-01-31,2016-03-31,141128000,2417427000,1198226000,,66866000.0,
WSM,2016-05-01,2016-06-07,39597000,2290368000,1162856000,,28149000.0,
WSM,2016-07-31,2016-09-08,51785000,2373564000,1154812000,,49728000.0,
WSM,2016-10-30,2016-12-07,69378000,2453332000,1159482000,,49292000.0,
WSM,2017-01-29,2017-03-30,144627000,2476879000,1248220000,,70245000.0,
WSM,2017-04-30,2017-06-02,39555000,2391177000,1210151000,,32153000.0,
WSM,2017-07-30,2017-09-08,52917000,2479860000,1188524000,,50574000.0,
WSM,2017-10-29,2017-12-06,71313000,2580384000,1172174000,,53094000.0,
WSM,2018-01-28,2018-03-29,95760000,2785749000,1203566000,,53891000.0,
WSM,2018-04-29,2018-06-08,45168000,2656905000,1197234000,10769000.0,34029000.0,-23260000.0
WSM,2018-07-29,2018-09-07,51713000,2607977000,1080988000,,45992000.0,
WSM,2018-10-28,2018-12-07,81465000,2718759000,1091937000,,48305000.0,
WSM,2019-02-03,2019-04-04,155338000,2812844000,1155714000,406485000.0,61776000.0,344709000.0
WSM,2019-05-05,2019-06-14,52656000,3788365000,1121768000,-98080000.0,36148000.0,-134228000.0
WSM,2019-08-04,2019-09-12,62648000,3869681000,1121603000,,,
WSM,2019-11-03,2019-12-12,74713000,3963824000,1131893000,,,
WSM,2020-02-02,2020-03-27,166045000,4054042000,1235860000,517344000.0,65122000.0,452222000.0
WSM,2020-05-03,2020-06-08,35423000,4418115000,1218929000,53873000.0,42321000.0,11552000.0
WSM,2020-08-02,2020-09-09,134564000,4487296000,1332922000,,,
WSM,2020-11-01,2020-12-07,201772000,4310679000,1401902000,,,
WSM,2021-01-31,2021-03-30,308955000,4661424000,1651185000,548220000.0,44628000.0,503592000.0
WSM,2021-05-02,2021-06-09,227802000,4110240000,1447296000,238881000.0,42360000.0,196521000.0
WSM,2021-08-01,2021-09-09,246070000,4245037000,1526719000,,,
WSM,2021-10-31,2021-12-06,249524000,4477324000,1543370000,,,
WSM,2022-01-30,2022-03-28,402941000,4625620000,1664207000,582808000.0,85507000.0,497301000.0
WSM,2022-05-01,2022-06-02,254113000,4210713000,1309744000,184519000.0,71186000.0,113333000.0
WSM,2022-07-31,2022-09-02,267075000,4319174000,1278279000,,,
WSM,2022-10-30,2022-12-02,251723000,4594007000,1412934000,,,
WSM,2023-01-29,2023-03-24,354993000,4663016000,1701051000,464297000.0,119739000.0,344558000.0
WSM,2023-04-30,2023-05-26,156531000,4471037000,1466825000,342526000.0,50029000.0,292497000.0
WSM,2023-07-30,2023-09-01,201507000,4571811000,1620955000,,,
WSM,2023-10-29,2023-11-28,237285000,4883769000,1813234000,,,
WSM,2024-01-28,2024-03-20,354439000,5273548000,2127861000,674860000.0,53628000.0,621232000.0
WSM,2024-04-28,2024-05-24,265666000,5159979000,2209558000,226788000.0,39513000.0,187275000.0
WSM,2024-07-28,2024-08-23,225745000,5211672000,2250230000,,,
WSM,2024-10-27,2024-11-22,248953000,4968340000,1906609000,,,
WSM,2025-02-02,2025-03-27,384887000,5301607000,2142419000,633479000.0,67213000.0,566266000.0
WSM,2025-05-04,2025-05-28,231263000,5157315000,2161276000,118949000.0,58250000.0,60699000.0
WSM,2025-08-03,2025-08-29,247562000,5228368000,2149696000,,,
WSM,2025-11-02,2025-11-25,241592000,5311381000,2067958000,,,
WSM,2026-02-01,2026-03-26,368020000,5411912000,2082559000,596924000.0,80933000.0,515991000.0
