ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
WTW,2010-06-30,2010-08-06,89000000,17020000000.0,2401000000,,,
WTW,2010-09-30,2010-11-05,64000000,15752000000.0,2470000000,,,
WTW,2010-12-31,2011-02-28,98000000,15847000000.0,2577000000,229000000.0,24000000.0,205000000.0
WTW,2011-03-31,2011-05-10,34000000,17238000000.0,2630000000,7000000.0,20000000.0,-13000000.0
WTW,2011-09-30,2011-11-09,60000000,16615000000.0,2688000000,,,
WTW,2012-03-31,2012-05-10,225000000,17091000000.0,2675000000,62000000.0,36000000.0,26000000.0
WTW,2012-06-30,2012-08-09,108000000,17608000000.0,2687000000,,,
WTW,2012-09-30,2012-11-07,26000000,17003000000.0,2674000000,,,
WTW,2012-12-31,2013-02-28,-805000000,15112000000.0,1699000000,215000000.0,38000000.0,177000000.0
WTW,2013-03-31,2013-05-08,219000000,15802000000.0,1865000000,39000000.0,23000000.0,16000000.0
WTW,2013-06-30,2013-08-06,105000000,15938000000.0,1977000000,,,
WTW,2013-09-30,2013-11-05,-27000000,15323000000.0,2024000000,,,
WTW,2013-12-31,2014-02-27,68000000,14800000000.0,2215000000,195000000.0,34000000.0,161000000.0
WTW,2014-03-31,2014-05-09,246000000,15828000000.0,2442000000,5000000.0,22000000.0,-17000000.0
WTW,2014-06-30,2014-08-06,47000000,16551000000.0,2444000000,,,
WTW,2014-09-30,2014-11-06,-7000000,15208000000.0,2258000000,,,
WTW,2014-12-31,2015-02-24,76000000,15435000000.0,1985000000,196000000.0,32000000.0,164000000.0
WTW,2015-03-31,2015-05-06,210000000,16105000000.0,2298000000,-64000000.0,16000000.0,-80000000.0
WTW,2015-06-30,2015-08-06,70000000,18319000000.0,2393000000,,,
WTW,2015-09-30,2015-11-05,117000000,17813000000.0,2393000000,,,
WTW,2015-12-31,2016-02-29,-24000000,18839000000.0,2229000000,130000000.0,46000000.0,84000000.0
WTW,2016-03-31,2016-05-10,238000000,33029000000.0,11151000000,118000000.0,,
WTW,2016-06-30,2016-08-09,72000000,32409000000.0,11050000000,,,
WTW,2016-09-30,2016-11-07,-32000000,31801000000.0,10767000000,,,
WTW,2016-12-31,2017-03-01,142000000,30253000000.0,10065000000,312000000.0,,
WTW,2017-03-31,2017-05-09,344000000,32232000000.0,10278000000,95000000.0,,
WTW,2017-06-30,2017-08-07,33000000,32774000000.0,10263000000,319000000.0,,
WTW,2017-09-30,2017-11-06,-54000000,32272000000.0,9915000000,,,
WTW,2017-12-31,2018-02-28,245000000,32458000000.0,10126000000,347000000.0,,
WTW,2018-03-31,2018-05-08,215000000,34212000000.0,10672000000,18000000.0,,
WTW,2018-06-30,2018-08-06,58000000,34213000000.0,10228000000,,,
WTW,2018-09-30,2018-11-02,44000000,33041000000.0,10049000000,,,
WTW,2018-12-31,2019-02-27,378000000,32385000000.0,9852000000,572000000.0,,
WTW,2019-03-31,2019-05-03,287000000,35893000000.0,10092000000,-47000000.0,,
WTW,2019-06-30,2019-08-01,138000000,35166000000.0,10090000000,,,
WTW,2019-09-30,2019-11-01,75000000,35703000000.0,9887000000,,,
WTW,2019-12-31,2020-02-26,544000000,35426000000.0,10249000000,461000000.0,,
WTW,2020-03-31,2020-04-30,305000000,37727000000.0,10263000000,23000000.0,,
WTW,2020-06-30,2020-07-30,94000000,38110000000.0,10335000000,,,
WTW,2020-09-30,2020-10-29,121000000,38037000000.0,10515000000,,,
WTW,2020-12-31,2021-02-23,476000000,38531000000.0,10820000000,568000000.0,,
WTW,2021-03-31,2021-04-29,733000000,38632000000.0,11526000000,-128000000.0,,
WTW,2021-06-30,2021-08-04,184000000,38267000000.0,11670000000,,,
WTW,2021-09-30,2021-10-28,903000000,37282000000.0,11393000000,,,
WTW,2021-12-31,2022-02-24,2402000000,34970000000.0,13260000000,184000000.0,,
WTW,2022-03-31,2022-04-28,122000000,32841000000.0,11004000000,21000000.0,,
WTW,2022-06-30,2022-07-28,109000000,32509000000.0,10337000000,,,
WTW,2022-09-30,2022-10-27,190000000,30991000000.0,9838000000,,,
WTW,2022-12-31,2023-02-24,588000000,31769000000.0,10016000000,375000000.0,,
WTW,2023-03-31,2023-04-27,203000000,31906000000.0,10096000000,134000000.0,,
WTW,2023-06-30,2023-07-27,94000000,28773000000.0,9799000000,,,
WTW,2023-09-30,2023-10-26,136000000,27623000000.0,9410000000,,,
WTW,2023-12-31,2024-02-22,622000000,29090000000.0,9520000000,522000000.0,,
WTW,2024-03-31,2024-04-25,190000000,30237000000.0,9489000000,24000000.0,,
WTW,2024-06-30,2024-07-25,141000000,29622000000.0,9337000000,,,
WTW,2024-09-30,2024-10-31,-1675000000,27168000000.0,7492000000,,,
WTW,2024-12-31,2025-02-25,1246000000,27681000000.0,7940000000,599000000.0,,
WTW,2025-03-31,2025-04-24,235000000,28064000000.0,8133000000,-35000000.0,,
WTW,2025-06-30,2025-08-01,331000000,28478000000.0,8100000000,,,
WTW,2025-09-30,2025-10-30,304000000,27439000000.0,7735000000,,,
WTW,2025-12-31,2026-02-25,735000000,29530000000.0,7976000000,771000000.0,,
