ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
XOM,2009-06-30,2009-08-05,3950000000,224661000000.0,106592000000.0,,,
XOM,2009-09-30,2009-11-05,4730000000,229307000000.0,107265000000.0,,,
XOM,2009-12-31,2010-02-26,6050000000,233323000000.0,110569000000.0,8504000000.0,6763000000.0,1741000000.0
XOM,2010-03-31,2010-05-06,6300000000,242748000000.0,112541000000.0,13046000000.0,5756000000.0,7290000000.0
XOM,2010-06-30,2010-08-04,7560000000,291068000000.0,140172000000.0,,,
XOM,2010-09-30,2010-11-03,7350000000,299994000000.0,145031000000.0,,,
XOM,2010-12-31,2011-02-25,9250000000,302510000000.0,146839000000.0,13055000000.0,7670000000.0,5385000000.0
XOM,2011-03-31,2011-05-05,10650000000,319533000000.0,151480000000.0,16856000000.0,7051000000.0,9805000000.0
XOM,2011-06-30,2011-08-04,10680000000,326204000000.0,155551000000.0,,,
XOM,2011-09-30,2011-11-03,10330000000,323227000000.0,155939000000.0,,,
XOM,2011-12-31,2012-02-24,9400000000,331052000000.0,154396000000.0,10751000000.0,8634000000.0,2117000000.0
XOM,2012-03-31,2012-05-03,9450000000,345152000000.0,157012000000.0,19287000000.0,7843000000.0,11444000000.0
XOM,2012-06-30,2012-08-02,15910000000,329645000000.0,162811000000.0,,,
XOM,2012-09-30,2012-11-06,9570000000,335191000000.0,166713000000.0,,,
XOM,2012-12-31,2013-02-27,9950000000,333795000000.0,165863000000.0,13224000000.0,10057000000.0,3167000000.0
XOM,2013-03-31,2013-05-02,9500000000,339639000000.0,167001000000.0,13592000000.0,7494000000.0,6098000000.0
XOM,2013-06-30,2013-08-06,6860000000,341615000000.0,165647000000.0,,,
XOM,2013-09-30,2013-11-05,7870000000,347564000000.0,169245000000.0,,,
XOM,2013-12-31,2014-02-26,8350000000,346808000000.0,174003000000.0,,8426000000.0,
XOM,2014-03-31,2014-05-07,9100000000,353033000000.0,176398000000.0,,7328000000.0,
XOM,2014-06-30,2014-08-06,8780000000,358586000000.0,181155000000.0,,,
XOM,2014-09-30,2014-11-05,8070000000,352764000000.0,180587000000.0,,,
XOM,2014-12-31,2015-02-25,6570000000,349493000000.0,174399000000.0,,8884000000.0,
XOM,2015-03-31,2015-05-06,4940000000,342961000000.0,171227000000.0,,6844000000.0,
XOM,2015-06-30,2015-08-05,4190000000,348260000000.0,172668000000.0,,,
XOM,2015-09-30,2015-11-04,4240000000,340662000000.0,170723000000.0,,,
XOM,2015-12-31,2016-02-24,2780000000,336758000000.0,170811000000.0,,6136000000.0,
XOM,2016-03-31,2016-05-04,1810000000,342789000000.0,172187000000.0,,4601000000.0,
XOM,2016-06-30,2016-08-03,1700000000,342473000000.0,170591000000.0,,,
XOM,2016-09-30,2016-11-03,2650000000,339386000000.0,170597000000.0,,,
XOM,2016-12-31,2017-02-22,1680000000,330314000000.0,167325000000.0,7396000000.0,3887000000.0,3509000000.0
XOM,2017-03-31,2017-05-03,4010000000,344209000000.0,177151000000.0,8173000000.0,2890000000.0,5283000000.0
XOM,2017-06-30,2017-08-02,3350000000,343012000000.0,179178000000.0,,,
XOM,2017-09-30,2017-11-01,3970000000,349427000000.0,182276000000.0,,,
XOM,2017-12-31,2018-02-28,8380000000,348691000000.0,187688000000.0,7411000000.0,4501000000.0,2910000000.0
XOM,2018-03-31,2018-05-03,4650000000,348826000000.0,188195000000.0,8519000000.0,3349000000.0,5170000000.0
XOM,2018-06-30,2018-08-02,3950000000,348790000000.0,187222000000.0,,,
XOM,2018-09-30,2018-11-07,6240000000,354628000000.0,190365000000.0,,,
XOM,2018-12-31,2019-02-27,6000000000,346196000000.0,191794000000.0,8607000000.0,6094000000.0,2513000000.0
XOM,2019-03-31,2019-05-02,2350000000,356189000000.0,191222000000.0,8338000000.0,5199000000.0,3139000000.0
XOM,2019-06-30,2019-08-07,3130000000,360729000000.0,191377000000.0,,,
XOM,2019-09-30,2019-11-06,3170000000,359361000000.0,189915000000.0,,,
XOM,2019-12-31,2020-02-26,5690000000,362597000000.0,191650000000.0,6352000000.0,6704000000.0,-352000000.0
XOM,2020-03-31,2020-05-06,-610000000,355804000000.0,182079000000.0,6274000000.0,5945000000.0,329000000.0
