ticker,period_end,available_date,net_income,total_assets,equity,operating_cf,capex,free_cash_flow
XYZ,2015-09-30,2016-11-02,-53930000,,273672000,,,
XYZ,2016-03-31,2016-05-06,-96755000,945069000.0,444884000,-15511000.0,7527000.0,-23038000.0
XYZ,2016-06-30,2016-08-04,-27345000,933292000.0,471459000,,,
XYZ,2016-09-30,2016-11-02,-32323000,1052208000.0,510389000,,,
XYZ,2016-12-31,2017-02-27,-15167000,1211362000.0,576153000,-19104000.0,5759000.0,-24863000.0
XYZ,2017-03-31,2017-05-04,-15090000,1591113000.0,627933000,43998000.0,6508000.0,37490000.0
XYZ,2017-06-30,2017-08-02,-15962000,1741714000.0,703744000,,,
XYZ,2017-09-30,2017-11-08,-16098000,2083852000.0,732909000,,,
XYZ,2017-12-31,2018-02-27,-15663000,2187270000.0,786333000,-2606000.0,6472000.0,-9078000.0
XYZ,2018-03-31,2018-05-02,-23986000,2379612000.0,809980000,52053000.0,8083000.0,43970000.0
XYZ,2018-06-30,2018-08-01,-5906000,3554827000.0,1081629000,,,
XYZ,2018-09-30,2018-11-07,19643000,3973368000.0,1122144000,,,
XYZ,2018-12-31,2019-02-27,-28204000,3281023000.0,1120501000,176420000.0,24030000.0,152390000.0
XYZ,2019-03-31,2019-05-01,-38151000,4402591000.0,1121589000,32444000.0,18168000.0,14276000.0
XYZ,2019-06-30,2019-08-01,-6740000,4654006000.0,1184472000,,,
XYZ,2019-09-30,2019-11-06,29397000,4000504000.0,1249794000,,,
XYZ,2019-12-31,2020-02-26,390940000,4551258000.0,1715050000,61116000.0,16672000.0,44444000.0
XYZ,2020-03-31,2020-05-06,-105891000,6003873000.0,1807945000,121296000.0,26137000.0,95159000.0
XYZ,2020-06-30,2020-08-05,-11478000,7812272000.0,1926307000,,,
XYZ,2020-09-30,2020-11-05,36515000,8114276000.0,2062835000,,,
XYZ,2020-12-31,2021-02-23,293959000,9869550000.0,2681569000,120726000.0,52049000.0,68677000.0
XYZ,2021-03-31,2021-05-06,39008000,11348720000.0,2314373000,-97741000.0,34149000.0,-131890000.0
XYZ,2021-06-30,2021-08-02,204021000,13815688000.0,2688852000,,,
XYZ,2021-09-30,2021-11-04,84000,13909426000.0,2959825000,,,
XYZ,2021-12-31,2022-02-24,-76829000,13925764000.0,3272855000,175054000.0,36292000.0,138762000.0
XYZ,2022-03-31,2022-05-05,-204199000,29127467000.0,17412822000,229423000.0,41187000.0,188236000.0
XYZ,2022-06-30,2022-08-04,-208014000,28885160000.0,16855104000,,,
XYZ,2022-09-30,2022-11-03,-14711000,29120932000.0,16497664000,,,
XYZ,2022-12-31,2023-02-23,-113823000,31364340000.0,17222879000,45369000.0,49106000.0,-3737000.0
XYZ,2023-03-31,2023-05-04,-16838000,31337327000.0,17448897000,294401000.0,32253000.0,262148000.0
XYZ,2023-06-30,2023-08-03,-122506000,31075924000.0,17747156000,,,
XYZ,2023-09-30,2023-11-02,-28954000,32554898000.0,17812660000,,,
XYZ,2023-12-31,2024-02-22,178070000,34069893000.0,18695256000,-797923000.0,51694000.0,-849617000.0
XYZ,2024-03-31,2024-05-02,472005000,35612830000.0,18970801000,489395000.0,31998000.0,457397000.0
XYZ,2024-06-30,2024-08-01,195268000,37546600000.0,19301996000,,,
XYZ,2024-09-30,2024-11-07,283754000,36355435000.0,19920914000,,,
XYZ,2024-12-31,2025-02-24,1946020000,36777595000.0,21267932000,13800000.0,26993000.0,-13193000.0
XYZ,2025-03-31,2025-05-01,189872000,36395567000.0,21469194000,133336000.0,31882000.0,101454000.0
XYZ,2025-06-30,2025-08-07,538458000,36858391000.0,22157136000,,,
XYZ,2025-09-30,2025-11-06,461544000,39182823000.0,22507398000,,,
XYZ,2025-12-31,2026-02-26,115762000,39549887000.0,22204278000,621000000.0,41200000.0,579800000.0
